Starting_Balance,Monthly_Income,Avg_Daily_Spend,Cashback_Received,Bill_Payments_This_Month,Num_Transactions,High_Value_Spend_Flag,Top_3_Spend_Categories,Wallet_Refills,Has_Credit_Linked,Has_Spend_Limit_Set,Avg_Spend_Per_Category,Days_Until_Min_Balance
1221.0,35503.0,1975.0,0.0,2.0,18.0,1,"Shopping,Travel,Bills",4.0,0,1,"{'Food': 282, 'Shopping': 981, 'Travel': 1116, 'Bills': 853, 'Groceries': 34, 'Entertainment': 1916, 'Other': 695}",15
7811.0,46320.0,1026.0,0.0,4.0,19.0,0,"Food,Entertainment,Other",1.0,0,1,"{'Food': 299, 'Shopping': 789, 'Travel': 140, 'Bills': 938, 'Groceries': 336, 'Entertainment': 318, 'Other': 253}",30
10139.0,29196.0,764.0,196.0,2.0,19.0,0,"Travel,Food,Bills",4.0,0,0,"{'Food': 399, 'Shopping': 408, 'Travel': 374, 'Bills': 568, 'Groceries': 540, 'Entertainment': 300, 'Other': 397}",30
14081.0,9850.0,1780.0,0.0,1.0,15.0,0,"Groceries,Other,Entertainment",0.0,0,0,"{'Food': 660, 'Shopping': 927, 'Travel': 581, 'Bills': 972, 'Groceries': 1466, 'Entertainment': 1576, 'Other': 1241}",11
12343.0,25682.0,1554.0,0.0,2.0,13.0,0,"Travel,Other,Bills",0.0,0,0,"{'Food': 1250, 'Shopping': 1243, 'Travel': 120, 'Bills': 1099, 'Groceries': 463, 'Entertainment': 258, 'Other': 1471}",22
13105.0,16502.0,1696.0,0.0,4.0,21.0,1,"Shopping,Groceries,Entertainment",4.0,1,0,"{'Food': 1135, 'Shopping': 1473, 'Travel': 1089, 'Bills': 492, 'Groceries': 287, 'Entertainment': 574, 'Other': 581}",14
16731.0,38741.0,1975.0,125.0,4.0,17.0,0,"Bills,Food,Entertainment",1.0,0,1,"{'Food': 154, 'Shopping': 1484, 'Travel': 1422, 'Bills': 1524, 'Groceries': 1336, 'Entertainment': 928, 'Other': 653}",26
13660.0,12967.0,1917.0,0.0,4.0,22.0,0,"Entertainment,Other,Travel",1.0,0,1,"{'Food': 658, 'Shopping': 595, 'Travel': 1273, 'Bills': 1131, 'Groceries': 1319, 'Entertainment': 818, 'Other': 1507}",11
,8230.0,323.0,0.0,3.0,19.0,0,"Food,Shopping,Groceries",0.0,0,1,"{'Food': 257, 'Shopping': 4, 'Travel': 277, 'Bills': 159, 'Groceries': 9, 'Entertainment': 179, 'Other': 35}",30
6926.0,9388.0,1118.0,284.0,1.0,21.0,1,"Travel,Entertainment,Shopping",2.0,0,1,"{'Food': 913, 'Shopping': 172, 'Travel': 262, 'Bills': 431, 'Groceries': 609, 'Entertainment': 525, 'Other': 858}",11
19064.0,21251.0,290.0,447.0,2.0,18.0,0,"Other,Food,Groceries",0.0,0,0,"{'Food': 11, 'Shopping': 36, 'Travel': 263, 'Bills': 35, 'Groceries': 98, 'Entertainment': 107, 'Other': 13}",30
11855.0,48701.0,1148.0,0.0,2.0,23.0,0,"Bills,Entertainment,Groceries",1.0,0,0,"{'Food': 861, 'Shopping': 141, 'Travel': 483, 'Bills': 552, 'Groceries': 4, 'Entertainment': 869, 'Other': 593}",30
1499.0,22853.0,203.0,392.0,4.0,21.0,0,"Travel,Other,Shopping",4.0,1,1,"{'Food': 132, 'Shopping': 145, 'Travel': 138, 'Bills': 191, 'Groceries': 2, 'Entertainment': 19, 'Other': 84}",30
14692.0,24368.0,,58.0,0.0,20.0,0,"Other,Entertainment,Food",2.0,0,1,"{'Food': 249, 'Shopping': 1583, 'Travel': 1878, 'Bills': 342, 'Groceries': 1854, 'Entertainment': 448, 'Other': 154}",18
4932.0,32156.0,1887.0,0.0,1.0,22.0,0,"Groceries,Shopping,Bills",3.0,0,0,"{'Food': 1248, 'Shopping': 1658, 'Travel': 1288, 'Bills': 1266, 'Groceries': 820, 'Entertainment': 702, 'Other': 1144}",17
503.0,8513.0,776.0,91.0,4.0,26.0,0,"Food,Other,Entertainment",3.0,1,0,"{'Food': 492, 'Shopping': 386, 'Travel': 162, 'Bills': 209, 'Groceries': 154, 'Entertainment': 436, 'Other': 245}",10
4560.0,42217.0,1171.0,,5.0,13.0,1,"Other,Food,Entertainment",1.0,0,1,"{'Food': 197, 'Shopping': 262, 'Travel': 243, 'Bills': 716, 'Groceries': 96, 'Entertainment': 958, 'Other': 653}",30
552.0,47755.0,168.0,0.0,3.0,22.0,0,"Travel,Bills,Food",2.0,0,0,"{'Food': 148, 'Shopping': 150, 'Travel': 102, 'Bills': 91, 'Groceries': 158, 'Entertainment': 139, 'Other': 162}",30
2443.0,49788.0,793.0,0.0,2.0,17.0,0,"Other,Groceries,Bills",2.0,0,0,"{'Food': 439, 'Shopping': 136, 'Travel': 258, 'Bills': 697, 'Groceries': 135, 'Entertainment': 236, 'Other': 45}",30
2906.0,6575.0,936.0,0.0,0.0,16.0,0,"Travel,Other,Groceries",0.0,0,0,"{'Food': 54, 'Shopping': 113, 'Travel': 909, 'Bills': 301, 'Groceries': 825, 'Entertainment': 197, 'Other': 39}",8
18287.0,48953.0,440.0,,2.0,28.0,0,"Food,Shopping,Other",7.0,1,0,"{'Food': 228, 'Shopping': 335, 'Travel': 129, 'Bills': 27, 'Groceries': 378, 'Entertainment': 248, 'Other': 176}",30
2018.0,39287.0,249.0,73.0,3.0,19.0,0,"Food,Other,Groceries",1.0,0,1,"{'Food': 65, 'Shopping': 174, 'Travel': 183, 'Bills': 202, 'Groceries': 186, 'Entertainment': 97, 'Other': 82}",30
5697.0,23736.0,1390.0,185.0,1.0,22.0,0,"Entertainment,Shopping,Groceries",2.0,0,1,"{'Food': 618, 'Shopping': 1259, 'Travel': 650, 'Bills': 161, 'Groceries': 367, 'Entertainment': 173, 'Other': 127}",20
16157.0,12574.0,1785.0,0.0,3.0,28.0,1,"Entertainment,Bills,Groceries",2.0,1,0,"{'Food': 1260, 'Shopping': 1451, 'Travel': 1133, 'Bills': 1457, 'Groceries': 1557, 'Entertainment': 1097, 'Other': 1272}",12
8113.0,,1982.0,0.0,0.0,24.0,0,,2.0,0,0,"{'Food': 78, 'Shopping': 1694, 'Travel': 474, 'Bills': 1810, 'Groceries': 689, 'Entertainment': 430, 'Other': 480}",5
19106.0,18429.0,1425.0,450.0,5.0,17.0,0,"Bills,Shopping,Entertainment",1.0,0,0,"{'Food': 1276, 'Shopping': 874, 'Travel': 1011, 'Bills': 1126, 'Groceries': 353, 'Entertainment': 497, 'Other': 597}",24
19001.0,10421.0,,0.0,3.0,20.0,1,"Shopping,Food,Entertainment",3.0,1,0,"{'Food': 82, 'Shopping': 363, 'Travel': 348, 'Bills': 66, 'Groceries': 541, 'Entertainment': 83, 'Other': 12}",30
1027.0,35854.0,1293.0,127.0,2.0,14.0,0,"Travel,Groceries,Food",0.0,1,0,"{'Food': 968, 'Shopping': 759, 'Travel': 81, 'Bills': 316, 'Groceries': 1214, 'Entertainment': 30, 'Other': 933}",26
10815.0,16945.0,1801.0,0.0,3.0,16.0,0,"Bills,Entertainment,Shopping",6.0,0,0,"{'Food': 1216, 'Shopping': 167, 'Travel': 693, 'Bills': 1456, 'Groceries': 265, 'Entertainment': 1158, 'Other': 1170}",13
13750.0,21467.0,1206.0,0.0,1.0,8.0,0,"Bills,Travel,Entertainment",1.0,1,0,"{'Food': 703, 'Shopping': 868, 'Travel': 1139, 'Bills': 894, 'Groceries': 1198, 'Entertainment': 371, 'Other': 1085}",26
1606.0,29717.0,1846.0,0.0,1.0,18.0,1,"Food,Groceries,Shopping",1.0,0,0,"{'Food': 41, 'Shopping': 485, 'Travel': 1752, 'Bills': 984, 'Groceries': 868, 'Entertainment': 290, 'Other': 739}",14
4268.0,21922.0,1017.0,446.0,5.0,14.0,0,"Food,Groceries,Entertainment",2.0,1,0,"{'Food': 679, 'Shopping': 418, 'Travel': 179, 'Bills': 208, 'Groceries': 306, 'Entertainment': 415, 'Other': 635}",24
13288.0,40424.0,1691.0,0.0,4.0,23.0,0,"Shopping,Food,Bills",0.0,0,0,"{'Food': 40, 'Shopping': 265, 'Travel': 82, 'Bills': 293, 'Groceries': 1171, 'Entertainment': 256, 'Other': 1633}",30
3592.0,48370.0,1510.0,146.0,3.0,16.0,0,"Food,Groceries,Bills",2.0,1,1,"{'Food': 44, 'Shopping': 678, 'Travel': 691, 'Bills': 742, 'Groceries': 959, 'Entertainment': 1165, 'Other': 215}",30
9592.0,10786.0,608.0,0.0,2.0,21.0,0,"Food,Bills,Entertainment",4.0,0,0,"{'Food': 123, 'Shopping': 385, 'Travel': 166, 'Bills': 274, 'Groceries': 586, 'Entertainment': 555, 'Other': 34}",30
18800.0,32691.0,1285.0,61.0,1.0,23.0,0,"Entertainment,Other,Shopping",2.0,0,1,"{'Food': 305, 'Shopping': 927, 'Travel': 92, 'Bills': 747, 'Groceries': 217, 'Entertainment': 1028, 'Other': 318}",30
18250.0,18964.0,818.0,419.0,3.0,25.0,0,"Shopping,Other,Bills",3.0,1,0,"{'Food': 573, 'Shopping': 537, 'Travel': 239, 'Bills': 192, 'Groceries': 694, 'Entertainment': 91, 'Other': 218}",30
8150.0,46599.0,886.0,0.0,1.0,19.0,1,"Food,Entertainment,Bills",3.0,0,0,"{'Food': 618, 'Shopping': 180, 'Travel': 497, 'Bills': 421, 'Groceries': 416, 'Entertainment': 255, 'Other': 394}",30
19137.0,25572.0,1838.0,0.0,2.0,26.0,1,"Bills,Groceries,Shopping",3.0,1,1,"{'Food': 1817, 'Shopping': 619, 'Travel': 1389, 'Bills': 432, 'Groceries': 557, 'Entertainment': 699, 'Other': 996}",20
10909.0,18249.0,1866.0,0.0,2.0,25.0,0,"Entertainment,Groceries,Other",5.0,0,0,"{'Food': 795, 'Shopping': 1821, 'Travel': 1021, 'Bills': 625, 'Groceries': 1799, 'Entertainment': 317, 'Other': 625}",13
16944.0,38908.0,275.0,0.0,1.0,15.0,0,"Other,Bills,Entertainment",4.0,1,0,"{'Food': 196, 'Shopping': 39, 'Travel': 89, 'Bills': 204, 'Groceries': 213, 'Entertainment': 113, 'Other': 17}",30
11398.0,23649.0,284.0,0.0,1.0,21.0,0,"Other,Shopping,Entertainment",2.0,1,1,"{'Food': 35, 'Shopping': 7, 'Travel': 241, 'Bills': 183, 'Groceries': 186, 'Entertainment': 3, 'Other': 241}",30
5946.0,48414.0,,0.0,2.0,19.0,1,"Groceries,Entertainment,Food",2.0,0,0,"{'Food': 332, 'Shopping': 1680, 'Travel': 1334, 'Bills': 846, 'Groceries': 1717, 'Entertainment': 1756, 'Other': 929}",24
19527.0,34889.0,476.0,0.0,2.0,18.0,0,"Entertainment,Shopping,Other",1.0,0,0,"{'Food': 356, 'Shopping': 225, 'Travel': 224, 'Bills': 397, 'Groceries': 397, 'Entertainment': 110, 'Other': 308}",30
8714.0,6316.0,1363.0,0.0,3.0,22.0,0,"Shopping,Groceries,Other",4.0,0,0,"{'Food': 376, 'Shopping': 1074, 'Travel': 1179, 'Bills': 852, 'Groceries': 277, 'Entertainment': 518, 'Other': 672}",9
16737.0,33103.0,729.0,0.0,5.0,17.0,1,"Entertainment,Bills,Other",2.0,1,0,"{'Food': 150, 'Shopping': 489, 'Travel': 590, 'Bills': 703, 'Groceries': 299, 'Entertainment': 706, 'Other': 56}",30
13292.0,33492.0,826.0,0.0,1.0,19.0,0,"Shopping,Bills,Groceries",4.0,0,0,"{'Food': 519, 'Shopping': 83, 'Travel': 181, 'Bills': 423, 'Groceries': 161, 'Entertainment': 307, 'Other': 126}",30
,43209.0,171.0,191.0,2.0,17.0,0,"Groceries,Travel,Other",2.0,0,0,"{'Food': 136, 'Shopping': 122, 'Travel': 83, 'Bills': 78, 'Groceries': 100, 'Entertainment': 1, 'Other': 99}",30
15998.0,41044.0,865.0,0.0,2.0,16.0,1,"Groceries,Travel,Shopping",2.0,0,0,"{'Food': 731, 'Shopping': 14, 'Travel': 467, 'Bills': 827, 'Groceries': 832, 'Entertainment': 328, 'Other': 40}",30
18709.0,13103.0,252.0,0.0,2.0,23.0,0,"Travel,Shopping,Groceries",1.0,0,0,"{'Food': 186, 'Shopping': 191, 'Travel': 75, 'Bills': 99, 'Groceries': 54, 'Entertainment': 240, 'Other': 165}",30
19071.0,13311.0,200.0,0.0,3.0,20.0,1,"Travel,Other,Entertainment",1.0,0,0,"{'Food': 98, 'Shopping': 75, 'Travel': 139, 'Bills': 42, 'Groceries': 107, 'Entertainment': 6, 'Other': 19}",30
5136.0,17865.0,1848.0,0.0,2.0,20.0,1,"Travel,Shopping,Bills",1.0,0,0,"{'Food': 1740, 'Shopping': 377, 'Travel': 552, 'Bills': 796, 'Groceries': 959, 'Entertainment': 1317, 'Other': 1056}",9
12711.0,36823.0,1151.0,0.0,3.0,26.0,0,"Entertainment,Groceries,Bills",2.0,0,1,"{'Food': 490, 'Shopping': 399, 'Travel': 167, 'Bills': 819, 'Groceries': 251, 'Entertainment': 287, 'Other': 1036}",30
5474.0,46507.0,1838.0,494.0,0.0,22.0,0,"Other,Food,Entertainment",1.0,0,0,"{'Food': 823, 'Shopping': 1665, 'Travel': 748, 'Bills': 824, 'Groceries': 640, 'Entertainment': 386, 'Other': 1660}",26
19271.0,20305.0,1684.0,0.0,3.0,25.0,0,"Shopping,Other,Food",3.0,1,0,"{'Food': 466, 'Shopping': 1214, 'Travel': 304, 'Bills': 587, 'Groceries': 1249, 'Entertainment': 687, 'Other': 1440}",21
11721.0,48631.0,1323.0,360.0,3.0,19.0,0,"Food,Groceries,Entertainment",0.0,0,0,"{'Food': 537, 'Shopping': 1266, 'Travel': 1207, 'Bills': 706, 'Groceries': 989, 'Entertainment': 724, 'Other': 740}",30
14690.0,33513.0,264.0,0.0,3.0,21.0,0,"Groceries,Bills,Entertainment",2.0,1,1,"{'Food': 232, 'Shopping': 222, 'Travel': 93, 'Bills': 152, 'Groceries': 129, 'Entertainment': 29, 'Other': 139}",30
10929.0,43017.0,258.0,0.0,2.0,,0,"Travel,Other,Entertainment",4.0,1,1,"{'Food': 163, 'Shopping': 250, 'Travel': 23, 'Bills': 127, 'Groceries': 81, 'Entertainment': 256, 'Other': 77}",30
5299.0,22874.0,171.0,0.0,3.0,20.0,0,"Entertainment,Other,Food",3.0,0,1,"{'Food': 133, 'Shopping': 25, 'Travel': 120, 'Bills': 35, 'Groceries': 88, 'Entertainment': 168, 'Other': 14}",30
1290.0,27451.0,1953.0,0.0,4.0,20.0,0,"Bills,Entertainment,Shopping",2.0,0,0,"{'Food': 411, 'Shopping': 293, 'Travel': 1376, 'Bills': 167, 'Groceries': 486, 'Entertainment': 285, 'Other': 110}",13
14108.0,11008.0,533.0,0.0,1.0,30.0,0,"Groceries,Bills,Other",2.0,0,0,"{'Food': 351, 'Shopping': 79, 'Travel': 382, 'Bills': 234, 'Groceries': 375, 'Entertainment': 295, 'Other': 18}",30
7433.0,2414.0,1490.0,101.0,3.0,23.0,1,"Travel,Groceries,Food",0.0,0,0,"{'Food': 924, 'Shopping': 550, 'Travel': 585, 'Bills': 789, 'Groceries': 474, 'Entertainment': 489, 'Other': 517}",4
14552.0,20038.0,293.0,344.0,0.0,27.0,0,"Food,Entertainment,Travel",1.0,0,0,"{'Food': 183, 'Shopping': 229, 'Travel': 11, 'Bills': 16, 'Groceries': 70, 'Entertainment': 49, 'Other': 75}",30
7309.0,48713.0,730.0,0.0,4.0,13.0,1,"Shopping,Bills,Other",1.0,0,0,"{'Food': 98, 'Shopping': 178, 'Travel': 154, 'Bills': 710, 'Groceries': 6, 'Entertainment': 55, 'Other': 629}",30
10606.0,10721.0,584.0,432.0,1.0,18.0,1,"Shopping,Entertainment,Bills",1.0,0,0,"{'Food': 94, 'Shopping': 459, 'Travel': 370, 'Bills': 94, 'Groceries': 119, 'Entertainment': 475, 'Other': 73}",30
14299.0,9474.0,,240.0,4.0,19.0,0,"Food,Shopping,Entertainment",1.0,0,0,"{'Food': 440, 'Shopping': 1066, 'Travel': 121, 'Bills': 109, 'Groceries': 979, 'Entertainment': 320, 'Other': 42}",18
12568.0,13921.0,887.0,101.0,3.0,22.0,0,"Groceries,Travel,Food",1.0,0,0,"{'Food': 846, 'Shopping': 247, 'Travel': 447, 'Bills': 506, 'Groceries': 411, 'Entertainment': 104, 'Other': 605}",27
2268.0,12096.0,300.0,392.0,4.0,18.0,0,"Food,Shopping,Groceries",4.0,0,0,"{'Food': 68, 'Shopping': 18, 'Travel': 223, 'Bills': 140, 'Groceries': 83, 'Entertainment': 61, 'Other': 149}",30
981.0,14051.0,1818.0,0.0,0.0,27.0,1,"Entertainment,Groceries,Other",4.0,0,0,"{'Food': 1565, 'Shopping': 616, 'Travel': 990, 'Bills': 1429, 'Groceries': 472, 'Entertainment': 1523, 'Other': 732}",5
3466.0,30064.0,320.0,0.0,1.0,20.0,1,"Bills,Other,Shopping",1.0,0,0,"{'Food': 311, 'Shopping': 121, 'Travel': 289, 'Bills': 81, 'Groceries': 0, 'Entertainment': 103, 'Other': 287}",30
9884.0,27657.0,1731.0,236.0,1.0,20.0,1,"Other,Groceries,Shopping",2.0,0,1,"{'Food': 1709, 'Shopping': 526, 'Travel': 1211, 'Bills': 723, 'Groceries': 601, 'Entertainment': 1312, 'Other': 977}",17
12698.0,11350.0,999.0,93.0,1.0,18.0,0,"Travel,Bills,Groceries",1.0,1,0,"{'Food': 438, 'Shopping': 539, 'Travel': 21, 'Bills': 782, 'Groceries': 108, 'Entertainment': 828, 'Other': 957}",22
10450.0,34340.0,1451.0,0.0,3.0,14.0,1,"Travel,Food,Groceries",3.0,1,0,"{'Food': 53, 'Shopping': 1433, 'Travel': 108, 'Bills': 1402, 'Groceries': 282, 'Entertainment': 1029, 'Other': 691}",26
4174.0,45850.0,1724.0,0.0,2.0,15.0,0,"Other,Shopping,Travel",5.0,0,0,"{'Food': 699, 'Shopping': 635, 'Travel': 822, 'Bills': 1119, 'Groceries': 1578, 'Entertainment': 1402, 'Other': 1620}",26
7141.0,49522.0,112.0,0.0,1.0,20.0,0,"Travel,Entertainment,Food",4.0,1,1,"{'Food': 39, 'Shopping': 7, 'Travel': 68, 'Bills': 6, 'Groceries': 45, 'Entertainment': 64, 'Other': 56}",30
7841.0,30691.0,277.0,0.0,0.0,24.0,0,"Bills,Entertainment,Shopping",4.0,0,0,"{'Food': 178, 'Shopping': 78, 'Travel': 37, 'Bills': 236, 'Groceries': 275, 'Entertainment': 255, 'Other': 37}",30
1351.0,32886.0,906.0,0.0,1.0,19.0,0,"Bills,Food,Shopping",1.0,0,0,"{'Food': 528, 'Shopping': 538, 'Travel': 796, 'Bills': 75, 'Groceries': 236, 'Entertainment': 62, 'Other': 772}",30
10418.0,45983.0,466.0,0.0,3.0,14.0,0,"Bills,Shopping,Travel",2.0,0,1,"{'Food': 223, 'Shopping': 185, 'Travel': 266, 'Bills': 24, 'Groceries': 377, 'Entertainment': 207, 'Other': 295}",30
13612.0,35839.0,885.0,0.0,4.0,12.0,1,"Entertainment,Bills,Other",2.0,0,0,"{'Food': 454, 'Shopping': 879, 'Travel': 599, 'Bills': 668, 'Groceries': 596, 'Entertainment': 247, 'Other': 75}",30
16592.0,13665.0,819.0,259.0,2.0,15.0,0,"Shopping,Travel,Groceries",1.0,0,0,"{'Food': 529, 'Shopping': 542, 'Travel': 266, 'Bills': 436, 'Groceries': 195, 'Entertainment': 168, 'Other': 685}",30
7569.0,31244.0,1385.0,245.0,2.0,16.0,0,"Other,Shopping,Entertainment",3.0,1,1,"{'Food': 792, 'Shopping': 156, 'Travel': 103, 'Bills': 960, 'Groceries': 1100, 'Entertainment': 756, 'Other': 175}",26
2070.0,25432.0,1416.0,97.0,2.0,17.0,0,"Other,Food,Groceries",0.0,0,1,"{'Food': 519, 'Shopping': 1147, 'Travel': 795, 'Bills': 377, 'Groceries': 205, 'Entertainment': 1327, 'Other': 503}",17
10162.0,38716.0,591.0,0.0,0.0,15.0,0,"Bills,Shopping,Food",2.0,1,0,"{'Food': 289, 'Shopping': 259, 'Travel': 52, 'Bills': 336, 'Groceries': 274, 'Entertainment': 0, 'Other': 583}",30
19464.0,27511.0,689.0,405.0,1.0,14.0,0,"Groceries,Entertainment,Shopping",2.0,0,0,"{'Food': 93, 'Shopping': 202, 'Travel': 418, 'Bills': 637, 'Groceries': 579, 'Entertainment': 236, 'Other': 348}",30
1170.0,4667.0,1830.0,294.0,2.0,21.0,0,"Shopping,Entertainment,Travel",5.0,0,0,"{'Food': 1338, 'Shopping': 921, 'Travel': 1003, 'Bills': 1499, 'Groceries': 307, 'Entertainment': 1459, 'Other': 1141}",1
5918.0,6018.0,721.0,0.0,0.0,20.0,0,"Groceries,Shopping,Other",1.0,0,1,"{'Food': 72, 'Shopping': 591, 'Travel': 105, 'Bills': 456, 'Groceries': 365, 'Entertainment': 703, 'Other': 128}",14
17623.0,33567.0,1905.0,0.0,1.0,19.0,0,"Other,Shopping,Food",1.0,1,0,"{'Food': 899, 'Shopping': 616, 'Travel': 1586, 'Bills': 1724, 'Groceries': 1439, 'Entertainment': 1467, 'Other': 1805}",24
16900.0,24210.0,1622.0,0.0,5.0,21.0,1,"Bills,Entertainment,Groceries",0.0,0,0,"{'Food': 1268, 'Shopping': 1028, 'Travel': 368, 'Bills': 575, 'Groceries': 104, 'Entertainment': 42, 'Other': 433}",21
6237.0,45695.0,137.0,211.0,2.0,21.0,0,"Food,Shopping,Bills",3.0,0,0,"{'Food': 79, 'Shopping': 74, 'Travel': 12, 'Bills': 74, 'Groceries': 58, 'Entertainment': 74, 'Other': 47}",30
11581.0,29419.0,1630.0,0.0,2.0,14.0,0,"Bills,Travel,Entertainment",0.0,1,0,"{'Food': 99, 'Shopping': 459, 'Travel': 527, 'Bills': 1019, 'Groceries': 1169, 'Entertainment': 673, 'Other': 999}",23
10200.0,8544.0,877.0,0.0,3.0,11.0,0,"Shopping,Other,Food",,0,0,"{'Food': 226, 'Shopping': 711, 'Travel': 668, 'Bills': 15, 'Groceries': 97, 'Entertainment': 61, 'Other': 538}",19
9311.0,25994.0,1699.0,0.0,1.0,22.0,0,"Food,Other,Groceries",0.0,0,0,"{'Food': 1002, 'Shopping': 933, 'Travel': 822, 'Bills': 843, 'Groceries': 437, 'Entertainment': 6, 'Other': 803}",19
6025.0,36054.0,315.0,0.0,1.0,18.0,0,"Food,Groceries,Travel",4.0,0,1,"{'Food': 305, 'Shopping': 165, 'Travel': 211, 'Bills': 127, 'Groceries': 288, 'Entertainment': 29, 'Other': 63}",30
15614.0,43141.0,1009.0,452.0,0.0,21.0,0,"Bills,Travel,Food",1.0,0,0,"{'Food': 495, 'Shopping': 33, 'Travel': 165, 'Bills': 942, 'Groceries': 647, 'Entertainment': 233, 'Other': 1}",30
10782.0,31905.0,251.0,0.0,3.0,11.0,0,"Entertainment,Shopping,Bills",4.0,0,0,"{'Food': 117, 'Shopping': 27, 'Travel': 54, 'Bills': 140, 'Groceries': 225, 'Entertainment': 30, 'Other': 242}",30
5487.0,1692.0,1380.0,482.0,1.0,18.0,0,"Bills,Shopping,Other",2.0,0,0,"{'Food': 700, 'Shopping': 1100, 'Travel': 699, 'Bills': 825, 'Groceries': 103, 'Entertainment': 469, 'Other': 504}",3
3559.0,48671.0,1202.0,0.0,2.0,19.0,0,"Shopping,Groceries,Travel",5.0,0,0,"{'Food': 465, 'Shopping': 121, 'Travel': 368, 'Bills': 1058, 'Groceries': 796, 'Entertainment': 741, 'Other': 403}",30
1830.0,23515.0,1593.0,0.0,1.0,18.0,1,"Food,Entertainment,Other",4.0,1,1,"{'Food': 423, 'Shopping': 711, 'Travel': 1061, 'Bills': 736, 'Groceries': 218, 'Entertainment': 1540, 'Other': 362}",12
,44235.0,776.0,0.0,0.0,29.0,1,"Travel,Food,Entertainment",3.0,0,0,"{'Food': 52, 'Shopping': 125, 'Travel': 446, 'Bills': 622, 'Groceries': 397, 'Entertainment': 104, 'Other': 263}",30
16251.0,23768.0,1277.0,0.0,2.0,13.0,0,"Groceries,Travel,Other",2.0,1,0,"{'Food': 186, 'Shopping': 1212, 'Travel': 636, 'Bills': 519, 'Groceries': 223, 'Entertainment': 712, 'Other': 479}",29
