Total_Publications,Citations,h_Index,Field_Of_Study,Institution_Ranking,Avg_Authors_Per_Paper,Has_Won_Major_Award,Papers_In_Top_Journals,International_Collaborations,Years_Since_PhD,CoAuthor_Connections_With_Winners,Target
38.0,782.0,26.0,Economics,117,1.0,0,2.0,3.0,6.0,0.0,No Win
35.0,2444.0,26.0,Peace,15,4.951978391664257,0,2.0,2.0,15.0,0.0,No Win
30.0,2408.0,20.0,Peace,185,4.922794366053753,0,5.0,3.0,31.0,1.0,No Win
38.0,3163.0,33.0,Economics,142,1.2168422486958175,0,5.0,2.0,22.0,2.0,No Win
48.0,,29.0,Medicine,175,7.818804879175369,0,3.0,1.0,24.0,2.0,No Win
32.0,874.0,25.0,Peace,140,6.278756255955983,0,1.0,1.0,6.0,1.0,No Win
45.0,0.0,21.0,Physics,7,1.1411833715456021,0,8.0,1.0,19.0,1.0,No Win
34.0,296.0,16.0,Medicine,4,4.880696306870753,0,3.0,1.0,30.0,1.0,No Win
48.0,2907.0,14.0,Economics,136,4.091992190953033,0,3.0,3.0,20.0,1.0,No Win
44.0,1033.0,26.0,,161,3.555517892158461,0,3.0,1.0,1.0,1.0,No Win
43.0,826.0,20.0,Peace,117,2.324724665166892,0,3.0,1.0,45.0,1.0,No Win
46.0,4799.0,33.0,Chemistry,64,8.902636082784909,1,3.0,1.0,12.0,1.0,No Win
37.0,2683.0,17.0,Literature,59,4.366148651800917,0,6.0,4.0,10.0,0.0,No Win
37.0,1998.0,21.0,Literature,179,2.122024584516356,0,6.0,3.0,41.0,3.0,No Win
48.0,4050.0,17.0,Economics,122,,0,5.0,2.0,39.0,1.0,No Win
29.0,3948.0,20.0,Economics,137,4.021169721226856,0,3.0,1.0,39.0,2.0,No Win
37.0,1572.0,42.0,Literature,192,5.507547415271294,0,3.0,6.0,17.0,1.0,No Win
50.0,1384.0,7.0,Chemistry,184,3.814928142188119,0,2.0,4.0,46.0,1.0,No Win
47.0,3528.0,15.0,Peace,94,4.939762665405748,0,3.0,2.0,46.0,1.0,No Win
42.0,2115.0,37.0,Physics,73,4.533476090084141,0,0.0,2.0,22.0,0.0,No Win
37.0,2494.0,32.0,Economics,155,4.902784766063936,0,2.0,1.0,11.0,1.0,No Win
33.0,2934.0,35.0,Peace,83,7.564624656531519,0,2.0,3.0,30.0,3.0,No Win
40.0,5001.0,35.0,Peace,37,4.665031007050292,0,1.0,1.0,37.0,2.0,No Win
35.0,4293.0,41.0,Physics,45,1.5569674416910853,0,6.0,2.0,7.0,0.0,No Win
38.0,2389.0,21.0,Physics,149,6.775086198661232,0,4.0,2.0,12.0,2.0,No Win
35.0,2925.0,6.0,Peace,1,3.983679738528077,0,2.0,5.0,32.0,0.0,No Win
44.0,0.0,13.0,Physics,43,,0,4.0,1.0,45.0,1.0,No Win
40.0,612.0,28.0,Peace,138,4.158402706797263,1,3.0,1.0,32.0,2.0,No Win
42.0,1469.0,13.0,Economics,96,6.9548422180264,0,3.0,3.0,21.0,0.0,No Win
36.0,2094.0,14.0,Physics,34,1.4988466654679828,1,2.0,1.0,42.0,1.0,No Win
42.0,0.0,36.0,Literature,2,4.209016818505936,0,1.0,1.0,13.0,0.0,No Win
40.0,206.0,25.0,Chemistry,70,3.9551915335977044,0,4.0,1.0,46.0,3.0,No Win
37.0,1477.0,31.0,Economics,150,5.189330902319145,0,0.0,4.0,33.0,2.0,No Win
44.0,3895.0,19.0,Chemistry,55,3.179591983761551,0,2.0,1.0,35.0,0.0,No Win
36.0,46.0,18.0,Physics,159,7.816818255300348,0,2.0,1.0,47.0,0.0,No Win
32.0,197.0,10.0,Peace,63,6.159051172583683,0,6.0,1.0,5.0,0.0,No Win
40.0,978.0,20.0,Peace,125,1.0,0,4.0,3.0,27.0,0.0,No Win
37.0,3736.0,20.0,Economics,75,4.459205207981431,0,0.0,4.0,19.0,2.0,No Win
33.0,246.0,19.0,Medicine,97,6.733465509099197,0,3.0,0.0,2.0,2.0,No Win
36.0,2100.0,26.0,Physics,153,5.8218558632269435,1,2.0,0.0,1.0,0.0,No Win
42.0,2912.0,20.0,Medicine,51,3.3784851677071948,0,4.0,1.0,17.0,0.0,No Win
47.0,161.0,19.0,Economics,170,2.4527653252523978,0,4.0,2.0,14.0,0.0,No Win
32.0,945.0,28.0,Physics,28,5.955726751731257,0,6.0,3.0,28.0,1.0,No Win
36.0,2247.0,36.0,Peace,65,4.93202712261378,0,3.0,3.0,15.0,1.0,No Win
40.0,4657.0,17.0,Literature,197,7.679493912151742,0,2.0,2.0,35.0,0.0,No Win
26.0,2468.0,37.0,Economics,136,4.099100945845088,0,2.0,,47.0,1.0,No Win
39.0,2348.0,14.0,Chemistry,7,4.333050996129093,0,3.0,4.0,31.0,0.0,No Win
47.0,2818.0,39.0,Medicine,2,3.154637676905275,1,2.0,1.0,6.0,1.0,Win
39.0,5948.0,29.0,Peace,106,4.5228857476369955,0,1.0,3.0,21.0,0.0,No Win
30.0,3031.0,26.0,Literature,165,3.352193152022645,0,1.0,1.0,44.0,0.0,No Win
34.0,5568.0,28.0,Physics,125,4.059633844471379,0,4.0,1.0,29.0,2.0,No Win
36.0,236.0,18.0,Literature,188,3.813336307315084,0,1.0,1.0,16.0,2.0,No Win
41.0,2807.0,36.0,Economics,58,2.838711613521964,1,4.0,2.0,47.0,0.0,No Win
37.0,751.0,18.0,Physics,94,4.784485499094342,0,4.0,3.0,2.0,2.0,No Win
38.0,974.0,35.0,Literature,64,2.7065063134113867,0,4.0,1.0,38.0,2.0,No Win
39.0,954.0,11.0,Economics,115,3.882188601777073,0,3.0,1.0,4.0,0.0,No Win
44.0,3614.0,33.0,Literature,41,8.228056800965348,1,6.0,5.0,44.0,2.0,No Win
40.0,3838.0,14.0,Medicine,142,1.0417809718859008,0,1.0,3.0,8.0,0.0,No Win
45.0,4069.0,24.0,Medicine,19,6.675990884798917,0,3.0,2.0,32.0,2.0,No Win
46.0,1645.0,16.0,Medicine,127,4.923796621350281,1,4.0,2.0,31.0,1.0,No Win
39.0,0.0,27.0,Physics,141,3.2826647911121754,0,1.0,3.0,26.0,2.0,No Win
42.0,0.0,32.0,Literature,9,1.3208121065376863,0,5.0,3.0,19.0,0.0,No Win
34.0,2275.0,16.0,Economics,194,5.4181724101253605,0,5.0,0.0,21.0,0.0,No Win
44.0,1790.0,8.0,Economics,191,7.157157307927831,0,2.0,1.0,31.0,0.0,No Win
42.0,2900.0,30.0,Medicine,18,3.53795324581791,0,5.0,2.0,35.0,3.0,No Win
40.0,0.0,28.0,Economics,155,4.37228010412908,0,3.0,3.0,11.0,2.0,No Win
36.0,1433.0,15.0,Literature,66,2.3513348027826426,0,5.0,4.0,38.0,2.0,No Win
43.0,76.0,20.0,Peace,1,5.521514975697647,0,5.0,3.0,23.0,1.0,No Win
36.0,0.0,25.0,Economics,157,3.045309979794525,0,5.0,2.0,28.0,0.0,No Win
27.0,2017.0,32.0,Literature,162,3.789424472362881,0,1.0,4.0,12.0,1.0,No Win
32.0,3259.0,26.0,Peace,186,4.640691920108126,0,2.0,3.0,1.0,0.0,No Win
46.0,3119.0,41.0,Physics,43,6.3871471700749645,0,1.0,,23.0,1.0,No Win
53.0,1367.0,33.0,Medicine,101,2.448426205247489,0,,2.0,8.0,3.0,No Win
33.0,0.0,33.0,Literature,129,6.6235981996596,1,4.0,1.0,12.0,0.0,No Win
37.0,1915.0,15.0,Literature,118,1.0,0,4.0,3.0,1.0,1.0,No Win
42.0,1068.0,11.0,Economics,4,4.543088273615936,0,3.0,2.0,26.0,0.0,No Win
45.0,2863.0,30.0,Peace,66,1.4360225136498546,0,2.0,2.0,11.0,0.0,No Win
43.0,1120.0,9.0,Physics,7,1.0094221290212757,0,4.0,0.0,46.0,3.0,No Win
39.0,4167.0,16.0,Economics,169,6.203227982350045,0,3.0,0.0,1.0,0.0,No Win
32.0,3364.0,13.0,Physics,97,2.8051000419518557,0,3.0,3.0,37.0,1.0,No Win
49.0,2996.0,43.0,Physics,106,4.278299262127491,0,3.0,3.0,33.0,0.0,No Win
40.0,1461.0,13.0,Economics,180,1.3835686645737053,1,2.0,3.0,44.0,0.0,No Win
33.0,0.0,28.0,Chemistry,38,6.653853668511156,0,1.0,0.0,35.0,2.0,No Win
38.0,1461.0,25.0,Peace,48,6.084651797703386,0,0.0,1.0,19.0,0.0,No Win
43.0,3222.0,17.0,Economics,181,3.9721221364329273,0,5.0,2.0,9.0,1.0,No Win
28.0,5208.0,16.0,Peace,105,4.940378285909818,0,5.0,3.0,48.0,1.0,No Win
43.0,1796.0,5.0,Medicine,100,3.2462345975321822,0,3.0,1.0,3.0,0.0,No Win
38.0,454.0,29.0,Peace,72,6.107243595508187,0,1.0,2.0,35.0,1.0,No Win
48.0,0.0,29.0,Literature,9,3.48047139159845,0,3.0,7.0,41.0,0.0,No Win
38.0,2982.0,28.0,Economics,5,1.0,0,3.0,2.0,39.0,5.0,No Win
37.0,2468.0,13.0,Peace,38,2.419683807843749,0,4.0,1.0,17.0,0.0,No Win
40.0,1245.0,12.0,Literature,134,1.46552162258175,0,2.0,0.0,48.0,1.0,No Win
34.0,3847.0,41.0,Physics,32,4.873563959345436,0,1.0,3.0,18.0,2.0,No Win
38.0,2734.0,5.0,Peace,93,3.6671017755765116,0,4.0,1.0,16.0,2.0,No Win
35.0,1538.0,15.0,,137,4.3141059182949375,1,3.0,1.0,12.0,0.0,No Win
38.0,2270.0,14.0,Chemistry,86,7.57026923543309,0,1.0,2.0,27.0,3.0,No Win
35.0,2573.0,50.0,Peace,32,2.8875436213036396,0,6.0,0.0,24.0,0.0,No Win
43.0,2948.0,30.0,Chemistry,27,2.518630668294235,1,2.0,2.0,7.0,3.0,No Win
,0.0,21.0,Physics,144,6.064490192832082,0,4.0,4.0,23.0,2.0,No Win
32.0,1641.0,16.0,Physics,87,1.8236633047846045,1,1.0,5.0,27.0,1.0,No Win
35.0,1109.0,23.0,Literature,141,5.247195791869731,0,4.0,2.0,19.0,2.0,No Win
37.0,792.0,18.0,Physics,191,1.1380775709495898,0,1.0,0.0,43.0,0.0,No Win
49.0,4974.0,21.0,Economics,182,4.347453929985504,0,0.0,2.0,33.0,3.0,No Win
40.0,1443.0,37.0,Medicine,131,3.0566529319333897,0,0.0,4.0,14.0,2.0,No Win
51.0,0.0,33.0,Peace,93,6.281415062340586,0,4.0,0.0,45.0,1.0,No Win
42.0,3521.0,9.0,Medicine,13,3.454669408046131,0,6.0,0.0,27.0,2.0,No Win
36.0,2557.0,34.0,Literature,62,6.793650741792288,0,7.0,5.0,34.0,2.0,No Win
33.0,1318.0,15.0,Literature,144,4.199994119675171,0,2.0,1.0,13.0,1.0,No Win
44.0,3791.0,42.0,Peace,163,4.840047033219274,0,2.0,5.0,25.0,0.0,No Win
35.0,4058.0,31.0,Literature,169,4.758885338880149,0,3.0,2.0,19.0,2.0,No Win
43.0,867.0,14.0,Physics,18,5.590642349063794,1,7.0,4.0,44.0,1.0,No Win
31.0,451.0,5.0,Medicine,150,6.562803564195029,0,2.0,5.0,15.0,1.0,No Win
59.0,1554.0,19.0,Economics,41,2.131823268454683,1,1.0,2.0,43.0,0.0,No Win
45.0,634.0,30.0,Literature,137,2.846469033625975,0,5.0,0.0,12.0,1.0,No Win
36.0,2085.0,53.0,Peace,159,9.203896170725898,0,6.0,2.0,35.0,3.0,No Win
36.0,2978.0,23.0,Literature,123,5.3808071511830455,0,5.0,0.0,14.0,0.0,No Win
37.0,4413.0,25.0,Economics,62,4.148208248903523,0,2.0,0.0,8.0,1.0,No Win
38.0,878.0,36.0,Peace,181,2.263577601591173,0,7.0,1.0,45.0,1.0,No Win
40.0,1978.0,5.0,Chemistry,69,6.698005454154304,0,2.0,4.0,9.0,1.0,No Win
46.0,5215.0,21.0,Peace,190,1.6991275368440708,0,4.0,2.0,17.0,0.0,No Win
42.0,3313.0,14.0,Peace,64,2.7612142916889217,0,6.0,2.0,38.0,0.0,No Win
32.0,2676.0,30.0,Chemistry,173,6.267291529721051,0,6.0,1.0,29.0,2.0,No Win
39.0,3748.0,19.0,Literature,42,6.716043726330483,1,6.0,1.0,16.0,2.0,No Win
37.0,359.0,24.0,Peace,126,3.349721085334077,1,3.0,1.0,32.0,1.0,No Win
48.0,1393.0,19.0,Medicine,61,5.669614080683664,0,6.0,5.0,43.0,0.0,No Win
39.0,2396.0,36.0,Peace,98,2.745773544053262,0,3.0,2.0,15.0,0.0,No Win
47.0,3102.0,27.0,Physics,129,2.3329035744585758,0,6.0,2.0,23.0,2.0,No Win
34.0,2257.0,24.0,Chemistry,67,2.3719993801653767,0,3.0,1.0,29.0,0.0,No Win
37.0,0.0,9.0,Economics,4,5.572110458926147,0,2.0,3.0,12.0,0.0,No Win
53.0,3463.0,23.0,Chemistry,39,6.650829097266227,0,2.0,4.0,38.0,2.0,No Win
36.0,1385.0,25.0,Economics,78,9.551209465090867,0,2.0,2.0,20.0,3.0,No Win
35.0,1260.0,25.0,Medicine,112,7.16757702333527,0,3.0,2.0,18.0,0.0,No Win
36.0,2036.0,12.0,Chemistry,157,2.233062806131203,1,4.0,3.0,2.0,0.0,No Win
34.0,3173.0,29.0,Peace,109,3.536035946889349,0,1.0,1.0,12.0,0.0,No Win
51.0,919.0,20.0,Economics,92,1.0936462192510854,0,2.0,4.0,20.0,2.0,No Win
37.0,1848.0,35.0,Medicine,123,3.8410991588919985,0,3.0,3.0,4.0,1.0,No Win
42.0,2276.0,5.0,Economics,110,1.0,1,1.0,0.0,13.0,0.0,No Win
47.0,2026.0,10.0,Medicine,19,5.325197898375722,0,4.0,2.0,43.0,1.0,No Win
28.0,2067.0,29.0,Economics,59,5.474277226173438,0,4.0,3.0,38.0,1.0,No Win
37.0,2710.0,43.0,Physics,45,3.6567460257849387,0,0.0,1.0,9.0,2.0,No Win
41.0,805.0,6.0,Economics,108,5.530146753575707,0,4.0,1.0,10.0,1.0,No Win
38.0,2011.0,45.0,Economics,15,3.4683765425176976,0,2.0,1.0,,2.0,No Win
44.0,2017.0,36.0,Physics,88,3.780794884645,0,4.0,1.0,3.0,0.0,No Win
45.0,2366.0,43.0,Medicine,41,3.7649770416275445,0,3.0,1.0,14.0,0.0,Win
52.0,2516.0,28.0,Economics,92,6.829784448100353,1,2.0,0.0,,1.0,No Win
52.0,570.0,33.0,Medicine,8,5.71912948279013,0,4.0,1.0,44.0,2.0,No Win
49.0,915.0,25.0,Medicine,103,2.874635333817716,0,4.0,0.0,26.0,0.0,No Win
48.0,4732.0,22.0,Chemistry,172,1.0,0,4.0,1.0,36.0,0.0,No Win
36.0,4564.0,41.0,Physics,34,4.038337487614066,0,3.0,2.0,11.0,0.0,No Win
30.0,0.0,25.0,Medicine,168,1.310094804501535,0,2.0,1.0,21.0,0.0,No Win
40.0,329.0,33.0,Chemistry,21,1.2843239656889556,0,4.0,3.0,17.0,0.0,No Win
48.0,703.0,32.0,Physics,129,2.201224696870735,0,1.0,0.0,19.0,0.0,No Win
45.0,1807.0,21.0,Medicine,72,3.8413942352304526,1,5.0,1.0,33.0,0.0,No Win
36.0,2336.0,36.0,Economics,49,4.544257687683829,0,4.0,2.0,24.0,1.0,No Win
49.0,3918.0,27.0,Economics,154,1.0,0,2.0,5.0,16.0,0.0,No Win
35.0,1616.0,20.0,Chemistry,138,5.711721894215956,0,3.0,2.0,32.0,1.0,No Win
36.0,0.0,32.0,Physics,81,3.605349938373876,0,3.0,3.0,6.0,0.0,No Win
41.0,2795.0,24.0,Economics,147,5.27459692240666,0,1.0,2.0,10.0,5.0,No Win
38.0,509.0,26.0,Literature,170,3.571588121348263,0,5.0,3.0,15.0,2.0,No Win
41.0,3420.0,21.0,Economics,65,5.011432559966806,0,0.0,2.0,43.0,0.0,No Win
42.0,1926.0,6.0,Literature,24,5.679680618744666,0,4.0,6.0,18.0,2.0,No Win
39.0,1094.0,33.0,Medicine,170,4.567554769181601,0,4.0,2.0,47.0,3.0,No Win
37.0,1272.0,8.0,Physics,13,6.122544051813965,0,5.0,2.0,35.0,0.0,No Win
50.0,1216.0,32.0,Peace,168,1.7612615024200338,0,2.0,2.0,17.0,0.0,No Win
51.0,2254.0,26.0,Peace,191,,0,1.0,0.0,43.0,0.0,No Win
35.0,2593.0,25.0,Peace,119,5.5566992151197825,0,3.0,2.0,1.0,2.0,No Win
45.0,2892.0,24.0,Peace,67,2.7280515724166676,0,2.0,1.0,45.0,1.0,No Win
39.0,2414.0,30.0,Medicine,176,2.0273035304599722,1,1.0,0.0,20.0,0.0,No Win
39.0,4192.0,,Physics,14,6.214623130420666,0,,2.0,46.0,0.0,No Win
41.0,2494.0,23.0,Chemistry,65,3.7266514680576006,0,2.0,4.0,26.0,1.0,No Win
56.0,3174.0,20.0,Literature,88,1.9061906497001844,1,1.0,1.0,24.0,0.0,No Win
43.0,3992.0,36.0,Economics,164,2.8403760222384142,1,4.0,0.0,20.0,3.0,No Win
39.0,542.0,37.0,Economics,87,5.728721975360738,0,6.0,2.0,45.0,3.0,No Win
37.0,2632.0,33.0,Medicine,78,1.5656330811757075,0,5.0,1.0,45.0,1.0,No Win
35.0,1694.0,20.0,Physics,50,5.061242902034689,0,1.0,4.0,42.0,1.0,No Win
52.0,3283.0,29.0,Chemistry,125,2.2749595603336434,1,4.0,1.0,31.0,1.0,No Win
32.0,2453.0,40.0,Peace,26,4.401476387444956,0,2.0,3.0,43.0,2.0,No Win
44.0,639.0,32.0,Peace,166,3.2473895304419367,0,3.0,2.0,10.0,0.0,No Win
38.0,4104.0,31.0,Physics,52,5.883566311233965,0,4.0,3.0,18.0,0.0,No Win
37.0,0.0,25.0,Literature,80,6.172196017688081,0,3.0,3.0,26.0,1.0,No Win
35.0,3779.0,29.0,Peace,29,1.0,0,1.0,3.0,12.0,2.0,No Win
46.0,2638.0,5.0,Literature,118,4.54437712896222,0,4.0,2.0,39.0,0.0,No Win
42.0,595.0,28.0,Peace,118,6.0653392543289675,0,6.0,1.0,41.0,1.0,No Win
32.0,236.0,28.0,Economics,99,8.79408012062547,0,7.0,2.0,33.0,1.0,No Win
40.0,4281.0,24.0,Chemistry,110,1.6977261400055523,0,2.0,0.0,19.0,0.0,No Win
37.0,2334.0,25.0,Chemistry,184,4.048346550855528,0,1.0,1.0,36.0,1.0,No Win
40.0,2977.0,18.0,Chemistry,163,3.1454229534466793,0,5.0,4.0,13.0,0.0,No Win
32.0,200.0,33.0,Literature,160,2.7540459788699194,1,3.0,2.0,23.0,1.0,No Win
41.0,967.0,26.0,Chemistry,10,5.171771292584326,0,0.0,2.0,3.0,1.0,No Win
46.0,2093.0,18.0,Physics,160,3.629066165086279,0,5.0,1.0,3.0,3.0,No Win
43.0,1343.0,28.0,Physics,191,3.071076841504403,0,2.0,5.0,23.0,0.0,No Win
40.0,2066.0,38.0,Physics,120,3.439952341405079,0,1.0,1.0,29.0,0.0,No Win
39.0,0.0,30.0,Chemistry,97,4.795019301949658,1,3.0,1.0,35.0,1.0,No Win
45.0,2982.0,30.0,Economics,128,1.3633629097415896,0,3.0,1.0,2.0,1.0,No Win
46.0,1875.0,30.0,Peace,140,5.440912500784183,0,3.0,2.0,39.0,0.0,Win
31.0,103.0,27.0,Medicine,99,4.0121469257553946,0,1.0,0.0,49.0,0.0,No Win
53.0,3419.0,22.0,Peace,146,3.10641996534518,0,1.0,2.0,9.0,1.0,No Win
42.0,2125.0,33.0,Peace,96,3.2774033055342553,0,5.0,0.0,4.0,0.0,No Win
38.0,4307.0,39.0,Medicine,91,1.0,0,1.0,1.0,10.0,2.0,No Win
45.0,2817.0,47.0,Literature,197,1.5611050428812288,0,0.0,0.0,24.0,1.0,No Win
45.0,377.0,19.0,Chemistry,111,7.276628539446213,0,2.0,0.0,12.0,1.0,No Win
45.0,941.0,29.0,Peace,160,8.446965668128716,0,3.0,2.0,25.0,1.0,No Win
,2409.0,30.0,Physics,76,5.05944038490291,0,4.0,1.0,18.0,1.0,No Win
44.0,3478.0,11.0,Medicine,113,4.600874235221452,0,3.0,5.0,48.0,1.0,No Win
41.0,0.0,13.0,Medicine,5,3.258868057780175,0,2.0,2.0,15.0,1.0,No Win
40.0,2559.0,23.0,Physics,3,5.691425908697665,0,3.0,1.0,3.0,0.0,No Win
47.0,3361.0,21.0,Medicine,37,4.797352610336456,0,3.0,3.0,30.0,0.0,No Win
36.0,,26.0,Economics,26,3.2866820721430225,0,5.0,1.0,46.0,2.0,No Win
,644.0,18.0,Chemistry,64,6.114200443254883,0,2.0,3.0,35.0,3.0,No Win
34.0,2301.0,40.0,Physics,8,5.316418071887686,1,1.0,1.0,2.0,2.0,No Win
41.0,1673.0,15.0,Peace,83,4.478606944342312,0,1.0,4.0,40.0,0.0,No Win
51.0,2175.0,22.0,Peace,150,5.0395513133507714,0,1.0,0.0,45.0,0.0,No Win
39.0,903.0,28.0,Chemistry,87,3.452058568208086,1,8.0,3.0,1.0,1.0,No Win
38.0,2783.0,17.0,Literature,193,2.4440367763593622,1,1.0,1.0,31.0,2.0,No Win
44.0,2450.0,16.0,Economics,140,4.966090303667614,0,0.0,1.0,3.0,1.0,No Win
40.0,916.0,24.0,Chemistry,121,3.806530436485766,1,3.0,2.0,16.0,0.0,No Win
39.0,3967.0,21.0,Chemistry,141,3.049342259398629,0,3.0,2.0,48.0,0.0,No Win
42.0,2172.0,40.0,Economics,175,3.2903261554020213,0,3.0,2.0,30.0,0.0,No Win
33.0,3751.0,11.0,Physics,150,3.6422370711143546,0,6.0,2.0,31.0,1.0,No Win
55.0,1307.0,,Peace,107,3.2943981596558465,0,5.0,4.0,12.0,0.0,No Win
44.0,3021.0,11.0,Physics,100,6.6548819080652795,0,3.0,2.0,46.0,0.0,No Win
33.0,3023.0,21.0,Economics,87,2.2541698943796806,0,2.0,0.0,40.0,,No Win
45.0,3496.0,10.0,Literature,137,6.39533748594212,0,6.0,4.0,40.0,1.0,No Win
32.0,1380.0,34.0,Chemistry,133,1.0,1,2.0,3.0,39.0,2.0,No Win
36.0,1555.0,42.0,Economics,4,5.399548600335127,0,2.0,2.0,15.0,1.0,No Win
36.0,399.0,36.0,Literature,67,6.510532721628765,1,4.0,1.0,7.0,1.0,No Win
35.0,3191.0,12.0,Physics,130,5.196797458947873,0,2.0,2.0,15.0,0.0,No Win
42.0,1549.0,5.0,Literature,156,1.9595778400585484,0,2.0,2.0,16.0,1.0,No Win
44.0,2678.0,19.0,Literature,78,3.39567210378993,0,4.0,3.0,49.0,1.0,No Win
39.0,4046.0,32.0,Physics,178,1.7816036618791262,0,2.0,0.0,48.0,0.0,No Win
48.0,727.0,24.0,Chemistry,68,5.506706786246866,0,2.0,0.0,27.0,0.0,No Win
45.0,0.0,20.0,Medicine,132,3.4441795175149164,0,5.0,2.0,36.0,1.0,No Win
31.0,728.0,13.0,Chemistry,184,7.222233558386635,1,3.0,0.0,37.0,1.0,No Win
43.0,,14.0,Physics,190,3.8993986122237096,0,4.0,3.0,1.0,3.0,No Win
