Games_Played_Last_5,Avg_Performance_Rating,Injury_Count_Last_Season,Recovery_Status,Disciplinary_Actions,Player_Role,Match_Importance,Fitness_Score,Travel_Fatigue_Index,Coach_Preference_Flag,Team_Need_For_Role,Target
5.0,7.769657145717005,1.0,Rehab,1.0,Defender,Medium,8.46311411200424,3.417616105185383,0,0,Not Selected
1.0,7.793780641239211,0.0,Partial,0.0,Defender,Low,5.725804175948827,3.342146692149522,0,1,Not Selected
2.0,8.297677675507517,0.0,Partial,1.0,Forward,Low,8.79263764194748,2.999002604309117,0,0,Selected
0.0,,1.0,Rehab,0.0,Goalkeeper,Medium,8.539579645791523,4.538163216665559,0,1,Not Selected
5.0,9.040625209971772,0.0,Rehab,0.0,Goalkeeper,Low,5.552399693133905,1.3942694456814126,0,1,Selected
4.0,6.487317523226198,0.0,Partial,0.0,Defender,Medium,6.491737378843508,2.6122775786600254,0,0,Not Selected
0.0,7.202115925622442,2.0,Rehab,1.0,Forward,Low,8.235816828499384,1.6408760598126155,0,0,Not Selected
4.0,7.015400872946263,0.0,Partial,1.0,Goalkeeper,High,5.825204934545896,2.785337532847023,0,0,Selected
5.0,7.144165261500889,1.0,Full,1.0,Defender,Low,9.02850948517418,1.4615523054921473,0,0,Not Selected
4.0,8.727469680244244,0.0,Rehab,0.0,Defender,Medium,6.033562553650619,2.0523736858611175,0,0,Not Selected
1.0,7.2681408346280065,0.0,Rehab,0.0,Midfielder,Low,6.694493846208803,4.228050995663266,0,0,Selected
0.0,9.242723108578565,0.0,Rehab,0.0,Midfielder,Low,5.639757362142224,2.857967249710595,1,1,Selected
1.0,5.484464717710251,1.0,Full,0.0,Midfielder,Low,4.598634570414502,3.3182943338401008,1,0,Not Selected
4.0,6.964684549320797,0.0,Partial,0.0,Midfielder,High,7.623248327233858,1.8613073183139688,0,0,Not Selected
0.0,8.666087704243747,1.0,Full,0.0,Midfielder,Low,8.67628013419883,1.3309657643701363,0,1,Selected
2.0,5.12853997755418,0.0,Full,0.0,Midfielder,Low,4.270325720054936,0.8431840494361031,0,0,Not Selected
0.0,3.895017934637988,1.0,Full,0.0,Goalkeeper,High,6.089109427650948,3.3221323654668486,0,0,Not Selected
1.0,7.422019351422403,0.0,Full,0.0,Goalkeeper,Low,8.398896802281651,3.4334744956845364,0,1,Not Selected
0.0,4.520666310782731,0.0,Partial,1.0,Defender,Medium,4.905303982868553,5.48935074549574,0,0,Not Selected
3.0,7.693210563710366,0.0,,0.0,Forward,High,7.156095294973364,0.6822797885370839,0,0,Selected
4.0,4.261757339112857,0.0,Rehab,0.0,Forward,Medium,8.6021822266832,4.072805933803915,0,1,Not Selected
4.0,7.514205108919183,1.0,Rehab,0.0,Goalkeeper,Low,4.386777718820999,3.150558361092746,0,1,Not Selected
5.0,7.430215992522847,0.0,Rehab,0.0,Forward,Low,6.617588081330644,0.0,0,1,Not Selected
2.0,2.7889728809248036,2.0,,0.0,Defender,Medium,7.64330906049129,5.221394070938494,0,0,Not Selected
0.0,10.0,0.0,Rehab,,Forward,Medium,5.132059612740332,1.0850481577367463,0,1,Not Selected
4.0,5.608666858405751,0.0,Full,0.0,Midfielder,Low,7.605458299693669,1.7919885573076146,0,0,Not Selected
1.0,6.777378448461272,1.0,Partial,0.0,Defender,High,6.703036086407908,3.359061076947402,0,1,Not Selected
4.0,8.373728902571791,2.0,Full,0.0,Forward,High,7.345495311214615,3.143645511605007,0,1,Not Selected
5.0,7.346757145847161,1.0,Full,0.0,Midfielder,High,7.383675107319642,1.41827497385999,0,0,Not Selected
1.0,2.635323062035048,0.0,Rehab,0.0,Midfielder,High,6.534427251033081,2.4692532144479182,0,0,Not Selected
2.0,2.7736924088871713,0.0,Rehab,0.0,Defender,Medium,6.619771112495027,4.502700998017324,0,0,Not Selected
0.0,7.2442877518466195,1.0,Full,0.0,Goalkeeper,High,7.433846547645266,3.6897930576001645,0,0,Selected
2.0,5.011512570434432,0.0,Full,0.0,Forward,Medium,9.116925115780973,1.4332851872570633,0,0,Selected
5.0,5.150270891827926,0.0,Rehab,0.0,Goalkeeper,High,8.070134671028034,1.6621160493930207,0,1,Selected
4.0,7.446012671013014,0.0,Full,0.0,Goalkeeper,Low,5.874273429394038,2.6088393674988413,0,1,Not Selected
5.0,6.588329942220628,0.0,Full,0.0,Defender,,7.299726622341138,4.531205598251159,1,0,Selected
2.0,2.5255620605580487,0.0,Partial,1.0,Midfielder,High,5.159822142879495,0.0,0,0,Not Selected
3.0,4.941244450397525,0.0,Partial,0.0,Forward,,4.844426948155023,3.9998863675005802,0,1,Not Selected
2.0,5.462372398238344,0.0,Full,0.0,Midfielder,Medium,7.9620479888739615,0.0,0,0,Selected
3.0,6.966227176578349,1.0,Full,1.0,Goalkeeper,Low,7.537721798997937,0.0,0,1,Not Selected
3.0,5.69082785583904,0.0,Partial,1.0,Forward,Medium,7.0678711637298255,2.383265510993265,0,1,Selected
3.0,6.225030344347714,0.0,Partial,0.0,Forward,Low,7.418707501103911,3.8184271783858477,0,0,Not Selected
3.0,4.645714350481393,1.0,Full,0.0,Forward,Medium,4.477242149034404,6.307673410926213,0,0,Selected
3.0,3.6151173104608207,1.0,Partial,0.0,Forward,High,5.435228458413459,0.625956060391704,1,0,Not Selected
0.0,6.2944333316184276,0.0,Full,0.0,Forward,Medium,3.0,2.1319552899585954,0,0,Not Selected
3.0,7.2292320806147465,,Full,0.0,Defender,Low,7.879302945887844,2.8314724673796317,0,0,Selected
1.0,5.387421230636219,0.0,Full,0.0,Goalkeeper,Low,7.227648452655319,2.8621098010900563,0,0,Selected
2.0,8.297564322104432,0.0,Full,0.0,Goalkeeper,Medium,7.783231534876679,1.7364683338744955,0,0,Selected
1.0,6.407799677948016,1.0,Full,0.0,Midfielder,Low,7.756000997225331,3.0547215537748245,0,0,Not Selected
0.0,,1.0,Full,1.0,Goalkeeper,Medium,7.620450591581935,2.4758886602842547,1,1,Not Selected
2.0,7.4411425863985325,0.0,Rehab,0.0,Defender,Medium,8.32638715998561,3.9326920573683477,0,1,Not Selected
1.0,4.914085079261383,0.0,Full,0.0,Midfielder,Low,5.391312025219188,2.716396119563697,0,1,Not Selected
1.0,6.546004695502078,0.0,Partial,0.0,Forward,High,6.655565159365389,4.6865454293653945,0,0,Not Selected
4.0,7.375535043272425,0.0,Full,0.0,Midfielder,High,7.037742242537836,5.435632544811658,0,0,Not Selected
4.0,6.676714305955137,1.0,Full,0.0,Goalkeeper,High,9.54696983643504,7.138568974973644,0,0,Not Selected
2.0,8.893145844148341,0.0,Partial,0.0,Forward,Medium,7.318981145209549,2.234856874932672,0,0,Selected
1.0,10.0,1.0,Full,0.0,Defender,Low,4.675053138625639,,0,0,Selected
5.0,7.241150519931024,0.0,Partial,0.0,Forward,Low,6.346435863799132,2.5455013649874454,0,1,Not Selected
3.0,5.47459006916414,0.0,Rehab,0.0,Forward,High,6.58512566522792,2.0162092583539226,0,0,Not Selected
0.0,10.0,0.0,Partial,0.0,Goalkeeper,High,8.431062798145629,2.9914657090651664,0,0,Not Selected
5.0,5.554570767594836,0.0,Partial,,Goalkeeper,Medium,7.150497587901404,0.0,0,1,Not Selected
4.0,6.928668901824831,0.0,Partial,0.0,Forward,Low,6.133052108916101,4.005925120456146,0,0,Not Selected
2.0,7.012936230096866,0.0,Full,0.0,Forward,High,9.940955626345437,3.5348207732680494,0,0,Selected
3.0,5.064721279248769,1.0,Rehab,1.0,Midfielder,Low,7.438572398889352,2.3255307350335954,0,0,Not Selected
1.0,8.932144797513816,0.0,Rehab,0.0,Midfielder,Low,8.134410333662984,4.881084921032096,0,1,Not Selected
1.0,5.179778352585681,0.0,Partial,0.0,Goalkeeper,Low,4.94170617556001,2.606411070341186,0,0,Not Selected
1.0,6.073465354559194,3.0,Partial,0.0,Goalkeeper,Low,7.896542073380299,4.293151692169217,0,1,Not Selected
5.0,6.425085368468824,1.0,Full,0.0,Goalkeeper,High,6.513351811295369,2.4663057463979534,1,1,Not Selected
3.0,6.098492457004147,0.0,Partial,,Goalkeeper,Low,6.182112659233532,,0,0,Not Selected
4.0,8.648587816707934,0.0,Rehab,0.0,Defender,High,6.9659424153068965,2.195047611767543,0,1,Not Selected
5.0,4.0825390645376585,0.0,Rehab,0.0,Forward,Medium,4.842010276856566,2.899443021502362,0,1,Not Selected
4.0,5.14937139354735,0.0,Rehab,0.0,Forward,Medium,6.559256619315412,1.759364222049844,0,1,Not Selected
3.0,5.18351258961006,0.0,Rehab,0.0,Midfielder,Low,8.404454111846075,3.4616289409330077,0,1,Selected
1.0,6.139362938042438,1.0,Rehab,0.0,Forward,Low,7.812840830208911,3.867591609842735,0,1,Not Selected
2.0,5.722549989177039,1.0,Full,0.0,Midfielder,Medium,7.524109119350737,4.256001163342774,0,1,Selected
2.0,7.175701832135664,0.0,Partial,0.0,Goalkeeper,Medium,5.701202964406993,1.6319316150698109,0,1,Not Selected
4.0,5.753660552254063,0.0,Rehab,0.0,Forward,High,4.58416565436392,3.933438227304971,0,1,Selected
5.0,6.786170688478408,1.0,Rehab,0.0,Midfielder,Medium,8.557128766136954,2.5254365781158894,0,1,Selected
,8.6764325173197,4.0,Full,0.0,Midfielder,Medium,7.171645605292454,3.0860330851396216,0,0,Not Selected
1.0,6.345611631370932,0.0,Partial,0.0,Goalkeeper,,9.089560403247331,3.3865808576822736,0,1,Not Selected
3.0,3.3618591046196853,0.0,Rehab,0.0,Midfielder,Low,7.835811077950272,2.582260770002459,1,1,Not Selected
5.0,5.554444431142747,0.0,Rehab,1.0,Defender,High,8.941299158896106,5.189560893230209,1,1,Not Selected
0.0,5.750907379108597,0.0,Rehab,0.0,Midfielder,Medium,6.9107682288518335,4.809840051308806,0,1,Not Selected
0.0,3.5552986265817053,0.0,Partial,1.0,Goalkeeper,Medium,7.9036475042596965,2.359290450015833,0,0,Not Selected
4.0,6.0485064678784015,1.0,Rehab,0.0,Defender,High,8.100752073055359,3.0664168375148377,1,0,Not Selected
,8.315118669380642,0.0,Partial,0.0,Defender,High,9.506765002869521,4.227572164061519,0,0,Not Selected
2.0,6.368584095694818,0.0,Partial,0.0,Midfielder,High,3.3302204901942205,2.5456399697911953,0,0,Not Selected
1.0,8.315816221125345,0.0,Full,0.0,Defender,Medium,6.685520444279527,2.44283160067302,0,1,Not Selected
1.0,9.024931932515337,1.0,Partial,1.0,Defender,Low,7.539722872822515,2.8194718930900597,1,1,Not Selected
4.0,8.190814281520868,0.0,Full,1.0,Goalkeeper,High,7.460578905263833,4.072521251754127,0,0,Not Selected
3.0,,0.0,Full,0.0,Midfielder,Medium,5.174778259480989,2.479804165321214,0,1,Not Selected
4.0,6.072841295774229,1.0,Full,0.0,Defender,Low,7.360493238532656,5.433390306288164,1,0,Not Selected
5.0,6.127024712908407,1.0,Rehab,0.0,Midfielder,High,7.5287130215508435,3.885890475666277,0,0,Not Selected
5.0,8.995706665890244,1.0,Rehab,0.0,Forward,Low,7.6831054374363275,3.9604438784482725,0,0,Not Selected
2.0,5.661077145635248,0.0,Rehab,0.0,Goalkeeper,High,6.5075402107277345,0.6877644732242296,0,1,Selected
5.0,8.911577421116403,0.0,Rehab,0.0,Goalkeeper,Low,7.3682166254426305,3.0203097031868484,0,1,Not Selected
5.0,8.478366755062206,1.0,Full,0.0,Forward,Low,8.287221638139517,1.5990057475042954,1,1,Not Selected
5.0,6.176098676405961,1.0,Partial,0.0,Defender,High,7.90409010924207,1.5146358455090836,1,1,Not Selected
1.0,6.890205836667662,0.0,Partial,0.0,Defender,High,5.516270956444249,2.370304238906276,0,0,Not Selected
3.0,6.0103104104359275,2.0,Rehab,1.0,Goalkeeper,High,7.8700695803306475,5.584406828682886,0,1,Not Selected
4.0,6.272809331049969,0.0,Full,0.0,Forward,Medium,8.228148647757909,2.0068056022213296,0,0,Not Selected
0.0,6.25639373444005,0.0,Partial,0.0,Goalkeeper,High,7.006235226860741,3.125674026303938,0,1,Not Selected
0.0,7.142340591412924,1.0,Full,0.0,Midfielder,High,7.783413228752245,3.5944394362082637,0,1,Selected
2.0,6.0211318296387395,1.0,Partial,0.0,Midfielder,High,6.779434121422537,1.2934022999538457,0,1,Not Selected
3.0,10.0,0.0,Full,0.0,Midfielder,Medium,6.095783056172529,2.7489552015781715,1,1,Not Selected
3.0,5.478176605075362,0.0,Rehab,0.0,Defender,High,6.97285201347171,,0,1,Not Selected
1.0,9.292327133514766,0.0,Partial,0.0,Forward,Low,7.861647640843864,2.007181622775368,0,1,Not Selected
0.0,8.305968846414878,0.0,Full,0.0,Forward,Low,6.243987611297927,4.870865870394635,0,1,Selected
4.0,5.1991975988419625,1.0,Rehab,0.0,Forward,Low,8.008822708061782,0.0,0,1,Not Selected
4.0,5.856225732871407,0.0,Full,1.0,Forward,High,6.308365637497764,2.3100228450658116,0,0,Not Selected
2.0,6.803367088871769,0.0,Full,0.0,Defender,High,6.952772769473654,2.0269715920265483,1,1,Not Selected
4.0,7.061407200786015,0.0,Partial,1.0,Goalkeeper,High,6.147491044892555,3.176764890576086,1,0,Not Selected
2.0,7.206060977013498,0.0,Full,1.0,Midfielder,Low,6.809640129724673,3.8474392655349248,0,1,Not Selected
1.0,4.800086495399486,0.0,Full,1.0,Goalkeeper,Low,7.558366279769863,1.245345651491005,0,1,Not Selected
4.0,8.114065584997325,1.0,Rehab,0.0,Defender,High,6.78828994860488,4.353569419363656,0,1,Not Selected
0.0,8.891512876237751,0.0,Rehab,0.0,Midfielder,Medium,6.42673109880846,2.9928072240899875,0,0,Not Selected
4.0,6.269240963990299,1.0,Rehab,,Defender,Low,6.74727497788542,2.2130725778796445,0,0,Not Selected
3.0,6.343397916167946,0.0,Full,0.0,Midfielder,High,10.0,3.0609482726194304,0,0,Not Selected
1.0,9.889055077862633,0.0,Full,0.0,Forward,Low,6.007705146798374,2.2336964542742135,1,0,Selected
5.0,6.773127869367743,0.0,,0.0,Midfielder,High,7.327847171908878,3.7054242979208936,0,1,Selected
2.0,7.6798455111916315,0.0,Rehab,0.0,Forward,Medium,9.823040386471682,2.143246507207297,1,1,Selected
1.0,6.804219235128022,1.0,Rehab,2.0,Defender,Low,6.052940861537284,2.194377541884041,0,0,Not Selected
5.0,7.84355344231002,0.0,Full,0.0,Defender,Low,7.672136255828956,1.220557265381044,0,0,Selected
1.0,4.075343636454008,0.0,Partial,0.0,Goalkeeper,Low,6.977392245568394,1.4839503126026452,0,1,Not Selected
2.0,,0.0,Rehab,0.0,Midfielder,Medium,8.91737833875653,2.935924584890553,1,0,Not Selected
5.0,5.680581485515832,0.0,Full,0.0,Midfielder,Low,10.0,1.3828221071538638,1,0,Not Selected
1.0,5.727431500418413,0.0,Full,0.0,Defender,High,8.951398630488953,3.150175170139254,1,1,Selected
4.0,7.1923941971971175,0.0,Full,0.0,Forward,High,7.1668239343385975,3.206093597667509,0,0,Not Selected
2.0,5.9856523778978605,2.0,Full,0.0,Midfielder,Low,8.054177175004714,4.081518237827387,0,1,Selected
1.0,5.568876916968097,0.0,Rehab,0.0,Forward,Low,9.604073512635228,3.8376002782639422,0,0,Not Selected
2.0,8.836024647242306,0.0,Partial,0.0,Midfielder,Low,6.899117208145665,3.8945834471582006,1,1,Selected
0.0,7.14902524499237,1.0,Rehab,0.0,Defender,High,6.775575663966689,4.134559064380717,1,0,Not Selected
1.0,7.232726939402548,1.0,Full,0.0,Midfielder,Medium,8.937151788733006,5.464447346524586,1,0,Not Selected
3.0,7.628820514554459,0.0,Full,0.0,Midfielder,Medium,8.557462515700754,4.1671283942631225,0,0,Not Selected
1.0,6.993983520056617,0.0,Partial,1.0,Defender,Low,7.546368905593882,0.9530200481660036,0,1,Not Selected
3.0,4.832911190313516,0.0,Rehab,1.0,Defender,High,7.226341672417483,5.451135910884572,0,0,Not Selected
3.0,1.74569023254658,0.0,Rehab,0.0,Defender,Medium,4.232079958397883,3.179282251938919,0,1,Not Selected
2.0,7.154893877096222,0.0,Rehab,0.0,Defender,Medium,3.910698069276014,3.246609185826194,0,0,Not Selected
0.0,4.40859915230082,0.0,Partial,0.0,Goalkeeper,High,6.514504260814608,5.017876121541542,0,1,Not Selected
1.0,8.246013894976462,0.0,Rehab,1.0,Forward,Low,8.65250529030413,2.9521752333191653,0,0,Not Selected
4.0,3.7068485347431155,1.0,Full,0.0,Goalkeeper,Medium,3.7426177992578324,6.19957628201534,0,1,Not Selected
4.0,5.78414509424604,0.0,Partial,0.0,Defender,Low,6.687549431515426,2.0924125457337115,0,0,Selected
0.0,2.731386306870095,0.0,Full,0.0,Defender,Medium,6.936622670415809,6.009006767529,0,0,Not Selected
3.0,6.138832929020892,0.0,Partial,0.0,Midfielder,Medium,5.725694419116493,4.665483034931203,0,0,Not Selected
4.0,8.899389792576446,0.0,Partial,0.0,Goalkeeper,Medium,7.820342366552984,3.148427466884818,1,1,Not Selected
3.0,5.2726282010146805,0.0,Partial,0.0,Defender,High,6.260305761529422,5.518258212933012,0,0,Not Selected
5.0,9.489625410249705,1.0,Full,0.0,Midfielder,Medium,5.780758705906433,1.1903114925912748,0,1,Not Selected
0.0,9.240140367566024,0.0,Full,1.0,Midfielder,Low,5.391191691770523,3.2178669926209476,0,0,Selected
1.0,5.246380608667664,0.0,Rehab,0.0,Goalkeeper,Low,6.4755503306638245,3.5406401612087963,0,0,Not Selected
4.0,5.209206328509369,0.0,Partial,0.0,Midfielder,Low,9.283458904919396,3.0638736764050227,0,1,Selected
3.0,7.838497468421569,1.0,,0.0,Goalkeeper,Low,8.121565664621144,0.9006078629227745,0,0,Not Selected
4.0,10.0,1.0,Full,2.0,Midfielder,Low,7.322394217883384,3.6044434388539592,0,0,Not Selected
4.0,8.02165259409093,0.0,Partial,0.0,Forward,Medium,7.600295310995081,4.1155906825132345,0,1,Not Selected
4.0,4.207377430151338,0.0,Full,0.0,Goalkeeper,High,5.86108731028113,3.37234825125556,0,0,Not Selected
1.0,5.2137146567555535,0.0,Partial,1.0,Defender,Low,5.673164430402167,0.0,0,0,Not Selected
2.0,2.1905244271595175,0.0,Rehab,0.0,Defender,Low,8.01460359023082,1.0360470698900537,0,1,Selected
2.0,3.961291877815982,0.0,Full,0.0,Goalkeeper,Low,8.633664615322498,3.0730291417358226,0,1,Selected
3.0,4.108752781951694,0.0,Partial,1.0,Forward,High,6.888232157101082,3.992672113981314,0,0,Not Selected
2.0,6.679303453537583,0.0,Partial,0.0,Defender,High,6.602703411976847,4.997168881782122,0,1,Not Selected
2.0,3.3253835806434444,1.0,Full,0.0,Goalkeeper,High,7.87978770218246,3.8915487970529603,0,1,Not Selected
2.0,3.7074720004116664,0.0,Full,0.0,Goalkeeper,Medium,9.231146061740356,4.112767852695614,0,0,Selected
4.0,7.076513623582853,2.0,Rehab,1.0,Forward,Medium,6.161417779281766,3.2043796674485305,0,0,Not Selected
4.0,6.577060843672907,2.0,Rehab,0.0,Forward,High,8.343002875507612,2.0434361785211452,0,1,Not Selected
0.0,7.746562448067105,0.0,Partial,1.0,Defender,Low,6.994313297157946,4.731983736692585,1,0,Selected
1.0,2.5203493567897763,0.0,Full,0.0,Goalkeeper,Medium,6.582907526220384,1.6927527074473359,1,0,Not Selected
3.0,7.768850038474493,0.0,Full,1.0,Goalkeeper,Medium,9.680555224581507,6.023995824970677,0,0,Not Selected
3.0,5.733829563518734,1.0,Rehab,0.0,Forward,High,7.167566389193464,1.0772407293642767,0,0,Not Selected
5.0,8.990079331801127,2.0,Partial,0.0,Goalkeeper,Medium,5.871021372849008,3.6494639490072895,0,0,Not Selected
3.0,5.143046439595263,1.0,Rehab,0.0,Defender,Low,7.863118810356172,6.657802596250197,0,0,Not Selected
5.0,3.7391267325901287,0.0,Partial,0.0,Forward,Low,4.913433908376387,2.1662600165415506,0,0,Not Selected
5.0,6.92988136081708,0.0,Rehab,0.0,Forward,Medium,5.551638238182784,3.556291881363377,1,0,Not Selected
1.0,8.911002089629903,0.0,Partial,0.0,Goalkeeper,High,6.6062078276018665,3.570932364031501,0,0,Not Selected
3.0,3.429062787683874,0.0,Partial,0.0,Forward,Low,7.386474670233034,1.5801921215543846,0,1,Selected
,9.533432456964327,1.0,Rehab,0.0,Goalkeeper,Medium,9.473579887991523,3.0651372815035947,0,0,Not Selected
4.0,5.8063180054917165,1.0,Partial,0.0,Goalkeeper,Medium,7.243390136897674,1.651585988119749,0,0,Not Selected
0.0,10.0,2.0,Partial,1.0,Midfielder,Low,6.428161362445707,2.40911095675798,1,0,Not Selected
2.0,7.697493917931837,1.0,Partial,1.0,Midfielder,High,5.537995279236948,1.5400014022706041,0,0,Not Selected
5.0,7.061339730801683,0.0,Partial,0.0,Goalkeeper,Low,5.507273711318656,3.8020878011485646,0,0,Not Selected
4.0,5.334584477719291,0.0,Partial,0.0,Goalkeeper,High,5.917649801320236,2.1429792783565613,0,0,Not Selected
2.0,8.055425007735343,1.0,Rehab,0.0,Defender,Medium,7.86857919562184,0.051100955815540416,0,1,Not Selected
2.0,6.266351934580031,0.0,Full,0.0,Defender,Medium,3.8776947172409373,5.443752052425847,0,0,Not Selected
3.0,5.668755037304899,1.0,Full,0.0,Midfielder,Low,8.514079249185231,3.223428556334881,0,0,Not Selected
0.0,3.6017529776731045,0.0,Rehab,0.0,Midfielder,Medium,8.101721924261097,0.17819774958625523,1,1,Not Selected
4.0,8.053514579588244,0.0,Full,0.0,Defender,Medium,6.740932982822202,3.472618963320681,0,1,Not Selected
1.0,5.243119228422359,0.0,Partial,1.0,Midfielder,Medium,6.273922538131384,2.963409686244814,0,0,Not Selected
2.0,4.678385061376708,1.0,Partial,0.0,Goalkeeper,High,7.652410394342141,4.912112171145543,0,0,Not Selected
1.0,9.798617822739958,0.0,Rehab,0.0,Forward,Low,7.659672321952449,3.186206368506859,0,1,Not Selected
3.0,4.400672681112326,0.0,Rehab,0.0,Defender,Medium,6.702691378841681,2.191192817582248,0,0,Not Selected
5.0,8.666305312041148,1.0,Full,1.0,Defender,Medium,6.444869531761997,2.3411075150065646,1,0,Not Selected
5.0,6.510618308417035,0.0,Partial,0.0,Defender,Medium,4.554761092930487,3.570098093104778,1,1,Not Selected
5.0,4.36165479403534,1.0,Full,0.0,Forward,High,8.567870023891073,2.2009892102959285,0,1,Selected
5.0,8.763252412570495,0.0,Partial,0.0,Defender,Medium,6.384743094953785,1.2468485799369158,0,1,Not Selected
4.0,8.038309398171965,0.0,Rehab,0.0,Defender,High,8.575478361598039,4.090851669149695,0,1,Not Selected
4.0,10.0,1.0,Full,0.0,Midfielder,Low,8.538141628659812,2.4153869964129613,0,0,Selected
0.0,8.302792485032251,0.0,Partial,0.0,Goalkeeper,Low,7.8466724889645025,0.9886028703118739,0,1,Not Selected
2.0,10.0,0.0,Rehab,0.0,Defender,High,7.882994060323875,3.3519777615976127,0,1,Not Selected
5.0,8.43132235907021,0.0,Partial,1.0,Defender,Medium,10.0,2.016787239815842,0,1,Selected
1.0,6.003384766420029,1.0,Full,0.0,Defender,Medium,7.936114348191989,2.4392348865388933,0,1,Not Selected
4.0,7.159819044618295,0.0,Partial,0.0,Midfielder,Low,10.0,5.794737665007166,1,0,Not Selected
3.0,8.166686616680987,0.0,Full,1.0,Defender,Medium,7.1801646761728355,1.6558968894137795,0,1,Not Selected
4.0,5.332148613315557,0.0,Partial,0.0,Defender,Low,9.702946580844209,1.4098069965980047,1,1,Selected
2.0,5.351664770580136,0.0,Rehab,0.0,Goalkeeper,Medium,3.0,4.001148628263736,0,0,Not Selected
2.0,5.634987727732775,0.0,Partial,0.0,Midfielder,Medium,9.101571486793484,4.1595481597449755,0,1,Not Selected
5.0,7.2154425490417005,0.0,Partial,0.0,Goalkeeper,High,6.720829148267924,1.6571705764451694,0,1,Selected
0.0,7.738665354410083,0.0,Full,0.0,Goalkeeper,High,4.6555533322713805,3.0376045394286226,0,1,Not Selected
0.0,4.576296112872208,2.0,Rehab,1.0,Goalkeeper,High,5.922189270834257,3.1002782238500406,0,1,Not Selected
4.0,6.97603525703895,0.0,Rehab,0.0,Midfielder,High,6.791485288011373,1.6119473450073598,0,0,Selected
0.0,8.406045012280185,0.0,Rehab,0.0,Defender,High,8.25549940975621,2.907949478991971,1,0,Selected
2.0,5.294250321611807,1.0,Full,0.0,Goalkeeper,,6.799418714124736,4.789256870141822,0,0,Not Selected
5.0,6.967654838029359,2.0,Partial,0.0,Forward,High,6.895301047412089,3.887251670969231,0,1,Selected
4.0,7.0369988379744735,0.0,Partial,0.0,Goalkeeper,High,9.291446215999247,3.866798004581939,1,0,Selected
3.0,5.780366739103387,0.0,Partial,0.0,Midfielder,High,9.098310039002595,2.4118832207462857,0,1,Selected
4.0,,1.0,Rehab,0.0,Defender,High,4.49197820420146,3.67697607176887,1,0,Not Selected
4.0,5.73136345698401,0.0,Full,0.0,Goalkeeper,Low,7.190037412123987,2.89271363118176,0,1,Not Selected
1.0,3.979342229403677,0.0,Rehab,0.0,Midfielder,Medium,7.886349602582171,3.9886080283610004,1,1,Not Selected
