Day_Of_Week,Is_Public_Holiday,Festival_Flag,Darshan_Type,Weather_Condition,Temperature_C,Buses_Arrived_Last_15_Min,Entry_Gate,VIP_Visit_Today,Security_Check_Lag_Minutes,Approx_Head_Count,Is_Weekend,Online_Booking_Peak_Flag,Estimated_Wait_Time_Minutes
Sun,0,0,VIP,Cloudy,28.679891611629234,7.0,Q-Complex II,0,9.306490372856912,3846.0,1,0,52.97279294074134
Tue,0,1,VIP,Cloudy,28.80053767669369,22.0,Q-Complex I,0,5.65826834373918,3637.0,0,0,95.7505298492561
Fri,1,0,VIP,Sunny,35.49071073919208,10.0,Q-Complex I,0,4.117608479008003,4293.0,0,0,70.34820954737123
Wed,0,0,VIP,Sunny,39.220370434485886,3.0,Q-Complex II,0,6.3612799849326835,2914.0,0,0,36.325068372835815
Fri,0,0,Free,Sunny,30.592201950080575,9.0,Special Entry,0,7.084268163483858,2779.0,0,0,41.36466233980593
Sun,0,0,Free,Rainy,29.405608369515313,8.0,Q-Complex II,0,5.024128308406917,2150.0,1,0,39.252261577841836
Tue,0,0,Senior,Rainy,32.748566540290255,8.0,Q-Complex II,0,8.763279513898901,3740.0,0,0,71.71036271624955
,1,0,Senior,Rainy,24.554308642292092,9.0,Q-Complex II,0,6.523013265231883,3526.0,0,0,63.463059416832806
Sat,1,0,VIP,Sunny,20.98896191335114,10.0,Vaikuntam,0,,4079.0,1,0,80.91622001996927
Thu,0,0,Senior,Sunny,28.741771986921698,7.0,Q-Complex II,0,4.9959065527425315,2478.0,0,0,44.0128999093246
Mon,0,0,VIP,Sunny,28.59212528441446,12.0,Q-Complex II,0,8.52050218927072,3390.0,0,1,84.32117266464672
Fri,0,0,₹300,Sunny,29.049575103710026,11.0,Q-Complex I,0,6.134883624360758,1735.0,0,1,55.565150717580416
Tue,0,0,Free,Rainy,26.942458232434262,10.0,Vaikuntam,0,8.541730387773933,3664.0,0,0,60.901311258229605
Mon,0,0,₹300,Sunny,29.60989306490818,7.0,Special Entry,0,8.658277369170538,3695.0,0,0,66.38646666319529
Tue,0,0,₹300,Cloudy,23.76645838861179,9.0,Special Entry,0,5.974171250057169,3087.0,0,0,58.47300436955063
Tue,1,0,Senior,Cloudy,29.000975730294595,14.0,Q-Complex II,0,4.720491143686588,3208.0,0,1,82.17155654318834
Mon,0,0,Free,Cloudy,38.154764406949944,4.0,Vaikuntam,0,8.047905334215587,3681.0,0,1,51.254218464324936
Thu,0,0,Senior,Sunny,29.656861202839487,7.0,Q-Complex I,0,10.338043050578786,2186.0,0,1,58.781389593819405
Sat,0,0,Free,Sunny,41.293439212999445,6.0,Vaikuntam,0,7.118436868028977,2429.0,1,0,43.94058800648846
Sun,0,0,Free,Sunny,22.68649338032423,9.0,Q-Complex II,0,4.518719844624858,3748.0,1,0,66.35649531959565
Fri,0,0,Senior,Sunny,,8.0,Q-Complex II,0,6.7393097080255835,2474.0,0,1,52.792531296908976
Wed,0,0,Senior,Sunny,32.30453208896847,10.0,Q-Complex I,0,4.497772847229394,3168.0,0,0,55.69420728787743
Thu,0,0,Free,Sunny,34.887290760690945,6.0,Q-Complex I,0,6.938083498726853,1969.0,0,0,39.13217060999711
Mon,0,1,₹300,Sunny,31.783381020390728,15.0,Special Entry,0,8.043254444769936,4624.0,0,0,96.91794150792889
,0,1,₹300,Cloudy,29.0241189372555,19.0,Q-Complex I,0,11.965381967891028,4873.0,0,0,112.72834820745946
Tue,0,0,Senior,Sunny,33.07063608187649,7.0,Special Entry,0,5.548512373693069,,0,1,74.67574418125677
Wed,0,0,Senior,Sunny,28.697448695048905,7.0,Special Entry,0,7.244019629290723,1753.0,0,1,46.772112828374134
Tue,0,0,₹300,Sunny,33.48723984886878,6.0,Q-Complex I,0,3.859550560219087,3304.0,0,1,61.9524792866382
Fri,0,0,Free,Cloudy,26.18502276585423,8.0,Q-Complex I,0,8.265883267586931,3357.0,0,1,66.76952138775796
Mon,1,0,Senior,Sunny,31.113273504521846,11.0,Q-Complex II,0,7.05951227899149,2875.0,0,0,68.31467899657821
Mon,0,0,Free,Cloudy,33.023024502294085,8.0,Q-Complex I,0,5.210785395560992,3065.0,0,1,67.18818727088774
Fri,0,1,Free,Cloudy,32.89268380236583,17.0,Q-Complex II,0,8.633136419739754,4643.0,0,0,106.33005880532826
Thu,0,0,Free,Rainy,24.798558047645486,4.0,Q-Complex II,1,5.39042616667935,1453.0,0,0,36.883447008447476
Fri,0,1,Free,Cloudy,31.937289593906335,27.0,Special Entry,0,9.57202231154898,5933.0,0,0,141.00756510048757
Sat,0,0,VIP,Rainy,23.507437894300942,11.0,Q-Complex II,0,5.8890457616794905,2435.0,1,0,48.720945447047264
Sat,0,0,VIP,Sunny,28.548845238062455,11.0,Special Entry,0,6.224596880128032,3555.0,1,0,58.47046290095755
Tue,1,0,VIP,Sunny,41.107729703494485,17.0,Q-Complex I,0,5.938262454159359,2688.0,0,1,87.13100521739706
Mon,0,0,Senior,Cloudy,31.281928724789456,9.0,Q-Complex I,0,8.014548062214596,2448.0,0,1,62.96932565002223
Mon,0,0,₹300,Sunny,31.764396272079612,12.0,Q-Complex II,0,7.092873096312298,2642.0,0,0,58.48332306080383
Wed,0,0,Free,Cloudy,20.760164396077176,8.0,Vaikuntam,0,8.93002992212646,2895.0,0,0,43.70382871899894
Wed,0,0,₹300,Sunny,25.207944398335023,7.0,Vaikuntam,1,,2822.0,0,1,64.08759494309265
Fri,0,0,Free,Cloudy,21.897899316301043,7.0,Vaikuntam,0,5.616183860237511,3404.0,0,0,53.51155943936316
Sat,1,0,Free,Rainy,28.279069120928817,16.0,Q-Complex II,0,7.8954171200346295,4999.0,1,0,100.34243995513214
Wed,0,0,Free,Cloudy,25.29443079176292,6.0,Q-Complex II,0,10.60188086582163,2638.0,0,0,36.86248423267684
Wed,0,0,VIP,Cloudy,29.488525564372644,5.0,Vaikuntam,0,7.957744327863671,4202.0,0,0,64.36455578074204
Tue,0,0,VIP,Sunny,27.494725328103275,4.0,Vaikuntam,0,7.075320466335875,3791.0,0,0,56.10186949960889
Sun,0,0,Free,Sunny,36.59742174634401,7.0,Special Entry,0,8.849267365825538,3091.0,1,1,68.50999472081969
Sun,0,0,VIP,Sunny,37.943855212661,3.0,Vaikuntam,0,7.395821566925296,2174.0,1,0,32.48933037919419
Sun,0,0,₹300,Cloudy,34.910172680402844,7.0,Vaikuntam,0,7.872647339348064,3872.0,1,0,60.03898019394458
Tue,0,0,Senior,Sunny,26.096937347990636,10.0,Special Entry,0,4.07125023958036,4181.0,0,0,72.78170701031763
Fri,0,0,Free,Sunny,32.29520051042378,8.0,Q-Complex II,1,6.41702004201302,3645.0,0,0,67.63818974651453
Fri,0,0,Free,Cloudy,27.812317684483265,6.0,Q-Complex II,0,7.954081654446243,4200.0,0,0,66.2051903650137
Thu,0,0,₹300,Sunny,34.388316039940136,8.0,Vaikuntam,0,,2895.0,0,1,59.220227507113094
Sun,0,0,Free,Cloudy,31.665310698809925,5.0,Q-Complex II,0,7.692976951795986,2249.0,1,0,43.40431774934249
Sat,1,0,₹300,Cloudy,25.50492415721678,18.0,Vaikuntam,0,10.828062707733572,3975.0,1,0,104.5950990436441
Sun,1,0,Senior,Rainy,30.42210373183194,10.0,Q-Complex II,0,9.374060611120761,3382.0,1,0,72.67720220950164
Tue,1,0,₹300,Rainy,25.74344661362803,14.0,Q-Complex II,0,7.657524820606961,2652.0,0,0,65.50891355690585
Thu,0,0,Free,Sunny,29.80974598656003,3.0,Vaikuntam,0,9.75141362662324,1977.0,0,0,27.302710048682954
Sun,0,0,Senior,Cloudy,25.44415300924199,8.0,Q-Complex II,0,4.353820413185003,1888.0,1,0,31.006826678400543
Wed,0,0,₹300,,30.719892302067024,4.0,Q-Complex I,0,8.15093733498886,2797.0,0,1,56.08135998349321
Thu,0,1,Free,Cloudy,24.984141644533295,18.0,Q-Complex II,0,9.438649846266452,5776.0,0,0,110.11141678397095
Tue,0,0,Senior,Sunny,,7.0,Q-Complex II,0,8.881542375976432,4117.0,0,0,63.675821541926354
Tue,0,0,Free,Cloudy,28.489190012129136,11.0,Special Entry,0,8.086596058072775,4455.0,0,0,70.49562615174395
Wed,0,0,VIP,Cloudy,23.24960632388195,4.0,Vaikuntam,0,7.619641420454055,3771.0,0,0,64.38225642841081
Wed,0,0,Senior,Cloudy,29.25753397621939,8.0,Vaikuntam,0,6.995832405159632,1701.0,0,0,42.822559717684754
Mon,0,0,Free,Cloudy,25.673276344205426,4.0,Vaikuntam,0,4.970486538614266,3187.0,0,1,47.06100830759613
Tue,0,0,VIP,Sunny,26.309586972554737,10.0,Special Entry,0,4.533063797439789,2268.0,0,0,47.619448011274926
Wed,0,0,VIP,Sunny,35.365240482377075,10.0,Q-Complex I,0,8.218276241814355,3106.0,0,0,58.51592705991163
Thu,0,0,₹300,Sunny,26.717622647057592,8.0,Special Entry,0,5.220507796426863,3201.0,0,1,63.22275526724735
Mon,0,1,₹300,Sunny,,16.0,Q-Complex I,0,9.802220693617715,5454.0,0,0,109.34019126002518
Sat,0,0,VIP,Cloudy,30.146039374281614,12.0,Q-Complex I,0,5.203064036417926,2512.0,1,0,53.3882075214907
Sat,0,1,VIP,Sunny,33.031030681246,17.0,Special Entry,0,10.107976836891586,4248.0,1,0,95.8675390582835
Wed,0,0,Senior,Cloudy,24.133931896260027,5.0,Q-Complex II,0,7.834380928765128,2509.0,0,0,41.41203249632449
Tue,0,0,Senior,Cloudy,21.862805494462165,8.0,Special Entry,0,8.824870498518333,3702.0,0,0,65.6558625024794
Sat,0,0,₹300,Cloudy,25.81502220699007,4.0,Vaikuntam,0,7.783608010805093,2987.0,1,0,48.55006550881054
Thu,0,0,Free,Sunny,26.227760180359056,13.0,Q-Complex II,0,6.919822974686893,,0,0,77.1412483596702
Thu,1,0,VIP,Sunny,28.438026260923262,13.0,Special Entry,0,7.336790384950493,5610.0,0,0,98.11946704036417
Sat,0,0,₹300,Sunny,27.790029067153412,6.0,Q-Complex II,0,9.597622649694104,2374.0,1,0,49.73558558962593
Sat,0,1,Free,Sunny,34.984190743223266,20.0,Vaikuntam,0,8.486409822861079,5224.0,1,0,106.09830557398925
Mon,0,0,₹300,Cloudy,25.42592707847943,11.0,Q-Complex II,0,8.855680256162474,3463.0,0,0,66.22417688229636
Sun,0,0,₹300,Sunny,32.2296267912364,16.0,Q-Complex I,0,8.631474425078594,3319.0,1,1,80.56468995611945
Tue,0,0,Senior,Cloudy,29.977773656334474,11.0,Q-Complex I,0,8.447227238355559,2832.0,0,1,64.51462496730906
Thu,0,0,Senior,Cloudy,30.87934916348556,4.0,Q-Complex II,0,9.893007871893156,1840.0,0,0,30.761466965751442
Sat,0,0,Senior,Sunny,37.90785540493362,5.0,Q-Complex II,0,6.200727628770795,3933.0,1,0,52.66573860381606
Tue,0,0,Free,Cloudy,25.743009605370446,10.0,Q-Complex I,0,7.369102606394074,3557.0,0,0,67.71562864924663
Sun,0,0,Senior,Sunny,29.272816845439174,11.0,Special Entry,0,5.227915091336653,2702.0,1,0,59.69165818985758
Mon,0,0,₹300,Rainy,20.3567020076485,3.0,Q-Complex I,0,4.651058946466566,3258.0,0,0,42.49304601497322
Thu,0,0,₹300,Cloudy,26.524679081629838,7.0,Vaikuntam,0,7.803542565117147,2518.0,0,0,49.327413845492266
Sun,0,0,Senior,Cloudy,29.413931623794667,3.0,Special Entry,0,7.243010022803431,2818.0,1,0,43.25983755688432
Sun,0,0,Senior,Cloudy,25.895687871152166,7.0,Special Entry,0,6.971960923484823,3053.0,1,1,64.08165701200532
Thu,0,0,VIP,Cloudy,31.538427159450773,9.0,Vaikuntam,0,5.161639722558567,2412.0,0,1,53.23037753748667
Sun,0,0,Senior,Cloudy,26.817835039413804,9.0,Vaikuntam,0,7.304631027153248,3495.0,1,0,70.54210837571175
Thu,0,0,Free,Cloudy,25.411037448047814,7.0,Q-Complex II,0,6.88223638019455,2766.0,0,1,50.72628233671126
Wed,0,0,VIP,Sunny,30.755826298120017,11.0,Q-Complex I,0,,4498.0,0,0,77.90852342992757
Tue,0,1,₹300,Sunny,26.123541554723133,16.0,Q-Complex II,0,10.23544243476182,4732.0,0,0,97.53720011855184
Sat,1,0,₹300,Sunny,30.201885306682364,14.0,Special Entry,0,4.673621077892722,4019.0,1,1,97.92472385496987
Wed,0,1,Senior,Sunny,35.594933931717755,17.0,Q-Complex II,0,12.864684062435003,5949.0,0,0,129.30250227252807
Sun,1,0,Senior,Sunny,27.778512691798625,17.0,Q-Complex I,0,8.192884679121342,3194.0,1,0,87.83227748476656
Sun,0,0,Senior,Sunny,30.635323521775252,7.0,Vaikuntam,0,2.5199002029609936,4292.0,1,0,57.8282978569043
Wed,0,0,Senior,Cloudy,27.587907194411137,7.0,Special Entry,0,9.450264696335749,3469.0,0,0,55.76574641322313
Fri,0,0,₹300,Sunny,23.255538745285513,9.0,Vaikuntam,0,7.251693939238715,3538.0,0,0,70.1311036137148
Thu,0,0,Senior,Sunny,31.563313706111,7.0,Vaikuntam,0,9.20119521352262,3410.0,0,0,56.00346182560303
Sat,0,0,Senior,Cloudy,31.55465101420384,6.0,Special Entry,0,5.946489134690019,1491.0,1,0,31.375151917145615
Tue,0,0,Free,Rainy,29.801230367894302,5.0,Q-Complex I,0,,2412.0,0,1,54.721543702511994
Mon,0,0,Senior,Sunny,34.900790519129714,14.0,Special Entry,0,8.002188339879691,2803.0,0,0,59.815955363298734
Tue,0,1,Free,Sunny,36.91631589362304,18.0,Vaikuntam,0,11.222287309299086,4406.0,0,0,94.68217475319557
Tue,0,0,Senior,Sunny,30.11922149196817,5.0,Special Entry,0,2.8642905471280153,2752.0,0,1,46.6235085191751
Wed,0,0,Senior,Sunny,32.50940281105292,7.0,Q-Complex I,0,6.639020422136732,2433.0,0,0,37.40044845907259
Thu,0,1,Free,Cloudy,31.088086248013692,15.0,Q-Complex I,1,13.062647489158937,4613.0,0,0,114.92661254908667
Wed,0,0,₹300,Cloudy,25.166846149593347,6.0,Q-Complex I,0,7.685630324805247,3409.0,0,0,52.9340891549949
Sun,0,0,Free,Rainy,25.60564747086295,9.0,Q-Complex II,0,7.037699245889695,1642.0,1,0,38.22985210264732
Sun,0,0,Free,Cloudy,28.6394255679896,15.0,Q-Complex II,0,4.944649718148083,1531.0,1,0,56.1108786647558
Tue,0,0,Senior,Cloudy,23.636134279139206,,Q-Complex II,0,6.17837142409083,1869.0,0,0,40.93495347001904
Thu,0,0,VIP,Cloudy,31.85940653238983,7.0,Q-Complex II,0,10.231165647096464,2918.0,0,0,55.45745758508268
Fri,0,0,Free,Cloudy,26.964815749331592,12.0,Q-Complex II,0,10.197294341009433,2044.0,0,0,55.352009814827966
Wed,0,0,Free,Sunny,30.123375921147755,4.0,Vaikuntam,0,9.455441754278358,3048.0,0,0,50.405201114246964
Fri,0,0,Senior,Sunny,39.296330678999894,9.0,Q-Complex II,0,5.161230816827153,1780.0,0,1,52.165855803274496
,1,0,₹300,Sunny,35.34314529975739,20.0,Vaikuntam,0,7.1959663069417905,3989.0,0,1,107.03858079476679
Sun,0,0,Free,Cloudy,24.377070796549525,13.0,Q-Complex I,0,,3932.0,1,1,79.99019242427623
Wed,0,0,Senior,Cloudy,30.37422688912345,7.0,Q-Complex I,0,1.1192227306714395,3916.0,0,0,51.62143804445615
Fri,0,1,VIP,Sunny,34.81250018150435,15.0,Special Entry,0,11.026170840194586,5412.0,0,0,108.72446206398403
Sun,0,0,Senior,Sunny,35.75565348589857,6.0,Vaikuntam,0,8.416607694402128,2366.0,1,1,52.53680004620693
Sat,1,0,Senior,Cloudy,28.12076314884062,11.0,Special Entry,0,8.217214884713481,4527.0,1,0,88.1750655728463
Tue,0,0,VIP,Cloudy,24.00788065128112,12.0,Special Entry,0,5.47313731969999,3006.0,0,0,64.55168493875338
Thu,0,0,Senior,Cloudy,28.838637661098502,10.0,Vaikuntam,0,6.0167276287359055,2580.0,0,0,52.57850198890451
Wed,0,0,₹300,Cloudy,25.495239871113732,4.0,Q-Complex I,0,7.030757962744211,2313.0,0,0,43.78869681794593
Wed,0,0,Senior,Sunny,29.095116505821363,12.0,Special Entry,0,8.748778361425455,3772.0,0,1,86.64943197045653
Fri,0,1,Senior,Sunny,26.77845193163005,12.0,Special Entry,0,12.11696908706065,4888.0,0,1,102.74602276280359
Sun,0,0,VIP,Sunny,25.23407175356089,8.0,Q-Complex II,0,6.5810948687018485,2781.0,1,0,52.2167219286169
Wed,0,0,VIP,Sunny,32.505638104390066,9.0,Vaikuntam,0,5.1958968912849794,1604.0,0,1,49.830988921554855
Fri,0,0,Free,Sunny,30.085600338639924,5.0,Q-Complex II,1,5.011301250782975,4614.0,0,0,77.23288565862548
,0,0,₹300,Cloudy,29.75390295523891,4.0,Special Entry,0,7.03923331538798,3081.0,0,0,53.59433407286392
Fri,0,0,₹300,Cloudy,31.954676677432012,9.0,Special Entry,0,4.297108470216058,2917.0,0,0,43.25116441444523
Thu,0,0,Free,Sunny,33.14836333224457,4.0,Q-Complex II,0,7.103252753422416,3314.0,0,0,55.30822653155657
Thu,0,0,₹300,Sunny,37.32216274627349,8.0,Vaikuntam,0,4.969811616344263,2331.0,0,0,54.72750522481813
Thu,1,0,VIP,Sunny,31.01521230449275,15.0,Vaikuntam,0,3.7473612920768318,3855.0,0,0,87.16160366545948
Wed,0,0,Senior,Sunny,30.197003345788545,8.0,Vaikuntam,1,4.535715340370334,3038.0,0,0,67.5749346566629
Tue,0,0,Free,Cloudy,28.758824670441584,14.0,,0,5.676035644406782,4187.0,0,0,77.32410238833509
Mon,0,0,₹300,Sunny,33.473953521825905,7.0,Special Entry,0,6.585044954632255,4679.0,0,0,66.13991645090228
Wed,0,0,VIP,Rainy,20.623542118547252,11.0,Q-Complex II,0,3.793479066368101,3011.0,0,0,51.13378196938488
Wed,0,0,₹300,Sunny,31.855615472805926,14.0,Vaikuntam,0,6.6211726580369,3327.0,0,0,61.26362309962487
Mon,0,0,₹300,Sunny,20.583144573491463,11.0,Q-Complex I,0,7.397896293592989,3552.0,0,0,52.126054377307476
Fri,1,0,VIP,Cloudy,23.65101624454879,10.0,Q-Complex II,0,4.828349742229629,4973.0,0,1,96.66112683726149
Sat,0,0,Senior,Sunny,35.77643761218949,11.0,Q-Complex I,0,5.037668937720637,3384.0,1,0,58.03075043698001
Fri,1,0,VIP,Sunny,33.60180037014456,11.0,Special Entry,0,3.993839396480364,4026.0,0,0,69.47295498073213
Wed,0,1,₹300,Rainy,28.1380225939222,21.0,Vaikuntam,0,11.775310851747673,5869.0,0,1,137.0861199710272
Sun,0,0,Senior,Sunny,28.76679298421588,13.0,Q-Complex I,0,4.79969153405661,2951.0,1,0,62.583667382268516
Thu,0,0,Senior,Sunny,33.00266288552484,8.0,Q-Complex I,0,7.09954737436192,2616.0,0,0,44.94566855414631
Tue,1,0,₹300,Cloudy,25.40243322502502,14.0,Vaikuntam,0,8.54418957795058,3704.0,0,0,82.30113191466182
Mon,0,0,₹300,Sunny,35.99912280561443,8.0,Special Entry,0,3.969809314088699,3432.0,0,0,53.522387919309416
Fri,0,0,₹300,Cloudy,26.560925416843656,6.0,Special Entry,0,4.3479046278359235,2815.0,0,0,39.8767389064944
Thu,0,0,Senior,Sunny,26.566970152736054,8.0,Special Entry,0,3.677513674587156,2933.0,0,0,49.93597662329245
Wed,0,0,Free,Cloudy,22.80167505228961,6.0,Q-Complex I,0,8.65946483575835,3814.0,0,1,70.1569413898866
Sun,0,0,₹300,Cloudy,27.140358579399688,6.0,Vaikuntam,0,7.553586898650576,2912.0,1,1,61.161013185178874
Sat,0,0,Free,Sunny,30.905791396503048,7.0,Q-Complex II,0,6.651291484194329,4254.0,1,0,69.64313209516769
Fri,0,0,Free,Sunny,32.17689651605397,4.0,Special Entry,0,6.531184399367356,2946.0,0,0,40.412384453813594
Thu,0,0,Senior,Sunny,32.63150712950129,11.0,Q-Complex II,0,7.905062872718969,2371.0,0,1,56.7098398569501
Wed,0,0,VIP,Cloudy,36.56553247404431,8.0,Special Entry,0,5.498794204837569,2447.0,0,0,45.989259243214846
Mon,1,0,₹300,Rainy,24.027508710400912,15.0,Q-Complex II,0,9.887264006937627,4434.0,0,1,97.03296505800323
Thu,0,0,Free,Sunny,29.67476646726671,11.0,Q-Complex II,0,5.775526530984499,3566.0,0,1,73.48071746354604
Wed,0,0,₹300,Sunny,31.70084567563405,10.0,Q-Complex II,0,12.97051800520682,2666.0,0,0,58.15506843401729
Sun,0,0,VIP,Sunny,31.448419787298068,2.0,Vaikuntam,0,10.489278346517363,,1,0,44.36410892775509
Thu,0,0,Free,Sunny,40.70686594538209,4.0,Vaikuntam,1,7.865919650721392,3817.0,0,0,79.47813351507102
Sat,0,0,Senior,Rainy,30.34370678529119,8.0,Special Entry,0,9.110437702662086,3346.0,1,0,54.540099908913064
Thu,0,0,Free,Sunny,31.152951979840115,4.0,Special Entry,0,4.102817170732912,4171.0,0,0,58.797111038061956
Sat,0,0,VIP,Cloudy,,10.0,Q-Complex I,0,7.2640418452351145,2779.0,1,0,59.75752256434852
Mon,1,0,₹300,Rainy,23.573198820938813,12.0,Q-Complex I,0,7.4225673845589455,3137.0,0,0,67.34897905244438
Sun,0,0,VIP,Sunny,28.581021341847148,6.0,Q-Complex II,0,2.5888678858018617,3479.0,1,0,52.72057032939227
Thu,0,0,Senior,Rainy,31.586387566325058,10.0,Q-Complex II,0,7.829295970209565,3433.0,0,0,69.36787977495982
Fri,1,0,Senior,Cloudy,23.869904385889843,13.0,Special Entry,0,7.795854099893618,3495.0,0,0,71.70557671433389
Mon,0,0,Senior,Sunny,31.062473335798412,8.0,Vaikuntam,0,8.804554347573294,3137.0,0,0,58.94081044749721
Wed,0,0,Free,Cloudy,23.946736657609097,9.0,Vaikuntam,0,8.402372652140746,3279.0,0,0,51.36835879533047
Thu,0,0,Senior,Sunny,33.682963783800815,8.0,Special Entry,0,6.415480476196461,3294.0,0,1,66.93410681087393
Sun,0,0,Free,Sunny,26.93326748569401,6.0,Vaikuntam,0,6.511839052651597,3497.0,1,0,60.12650565032864
Wed,0,0,VIP,Sunny,35.28564520754996,15.0,Special Entry,1,11.040098213859295,3500.0,0,0,95.46625562880425
Sun,0,0,Free,Cloudy,32.758060170660166,9.0,Special Entry,0,9.342241262067855,3450.0,1,0,57.44316949455759
Thu,0,0,Free,Sunny,33.092316016009576,13.0,Vaikuntam,0,9.661734360734336,2940.0,0,0,62.80343697993622
Fri,0,0,Senior,Cloudy,29.327770226667454,8.0,Q-Complex I,0,8.598357639810798,3230.0,0,0,57.27223897942064
Tue,0,0,VIP,Sunny,28.934281424449715,7.0,Vaikuntam,0,6.607066833143806,1616.0,0,0,35.61251556473603
Thu,0,0,Senior,Sunny,30.752943200559486,6.0,Q-Complex II,0,7.958883036172128,2635.0,0,0,47.216016136741985
Sat,0,0,₹300,Sunny,34.52473337216803,6.0,Q-Complex I,0,6.239516888139594,2067.0,1,0,38.999725131310086
Fri,0,0,Senior,Sunny,30.677601002812956,10.0,Q-Complex I,0,5.333887885998482,2776.0,0,0,57.31967774192009
